audioset,comment
/m/01yrx,Cat
/m/02yds9,Purr
/m/07qrkrw,Meow
/m/07rjwbb,Hiss
/m/0f25s6,Cat_communication
/m/07r81j2,Caterwaul
/m/0ch8v,Livestock_and_farm_animals_and_working_animals
/m/03k3r,Horse
/m/07rv9rh,Clip-clop
/m/07q5rw0,Neigh_and_whinny
/t/dd00139,Snort_(horse)
/t/dd00140,Nicker
/m/0ffhf,Donkey_and_ass
/m/01xq0k1,Cattle_and_bovinae
/m/07rpkh9,Moo
/m/0239kh,Cowbell
/m/01hhp3,Yak
/m/068zj,Pig
/t/dd00018,Oink
/m/03fwl,Goat
/m/07q0h5t,Bleat
/m/07bgp,Sheep
/m/025rv6n,Fowl
/m/09b5t,Chicken_and_rooster
/m/07st89h,Cluck
/m/07qn5dc,Crowing_and_cock-a-doodle-doo
/m/01rd7k,Turkey
/m/07svc2k,Gobble
/m/09ddx,Duck
/m/07qdb04,Quack
/m/0dbvp,Goose
/m/07qwf61,Honk
/m/01280g,Wild_animals
/m/0cdnk,Roaring_cats_(lions_and_tigers)
/m/04cvmfc,Roar
/m/015p6,Bird
/m/020bb7,Bird_vocalization_and_bird_call_and_bird_song
/m/07pggtn,Chirp_and_tweet
/m/07sx8x_,Squawk
/m/0h0rv,Pigeon_and_dove
/m/07r_25d,Coo
/m/04s8yn,Crow
/m/07r5c2p,Caw
/m/09d5_,Owl
/m/07r_80w,Hoot
/m/01dwxx,Gull_and_seagull
/m/05_wcq,Bird_flight_and_flapping_wings
/m/01z5f,Canidae_and_dogs_and_wolves
/m/06hps,Rodents_and_rats_and_mice
/m/04rmv,Mouse
/m/02021,Chipmunk
/m/07r4gkf,Patter
/m/03vt0,Insect
/m/09xqv,Cricket
/m/09f96,Mosquito
/m/0h2mp,Fly_and_housefly
/m/07pjwq1,Buzz
/m/01h3n,Bee_and_wasp_and_etc.
/m/09ld4,Frog
/m/07st88b,Croak
/m/078jl,Snake
/m/07qn4z3,Rattle
/m/032n05,Whale_vocalization
/m/04rlf,Music
/m/04szw,Musical_instrument
/m/0fx80y,Plucked_string_instrument
/m/0342h,Guitar
/m/02sgy,Electric_guitar
/m/018vs,Bass_guitar
/m/042v_gx,Acoustic_guitar
/m/06w87,Steel_guitar_and_slide_guitar
/m/01glhc,Tapping_(guitar_technique)
/m/07s0s5r,Strum
/m/018j2,Banjo
/m/0jtg0,Sitar
/m/04rzd,Mandolin
/m/01bns_,Zither
/m/07xzm,Ukulele
/m/05148p4,Keyboard_(musical)
/m/05r5c,Piano
/m/01s0ps,Electric_piano
/m/025cbm,Clavinet
/m/0bxl5,Rhodes_piano
/m/013y1f,Organ
/m/03xq_f,Electronic_organ
/m/03gvt,Hammond_organ
/m/0l14qv,Synthesizer
/m/01v1d8,Sampler
/m/0gkd1,Mellotron
/m/03q5t,Harpsichord
/m/0l14md,Percussion
/m/02hnl,Drum_kit
/m/0cfdd,Drum_machine
/m/026t6,Drum
/m/06rvn,Snare_drum
/m/03t3fj,Rimshot
/m/02k_mr,Drum_roll
/m/0bm02,Bass_drum
/m/011k_j,Timpani
/m/01p970,Tabla
/m/01qbl,Cymbal
/m/03qtq,Hi-hat
/m/0bm0k,Crash_cymbal
/m/01sm1g,Wood_block
/m/07brj,Tambourine
/m/05r5wn,Rattle_(instrument)
/m/0xzly,Maraca
/m/0mbct,Gong
/m/016622,Tubular_bells
/m/0j45pbj,Mallet_percussion
/m/0dwsp,Marimba_and_xylophone
/m/0dwtp,Glockenspiel
/m/0dwt5,Vibraphone
/m/0l156b,Steelpan
/m/05pd6,Orchestra
/m/01kcd,Brass_instrument
/m/0319l,French_horn
/m/07gql,Trumpet
/m/07c6l,Trombone
/m/020w2,Cornet
/m/0y64j,Bugle
/m/0l14_3,Bowed_string_instrument
/m/02qmj0d,String_section
/m/07y_7,Violin_and_fiddle
/m/0d8_n,Pizzicato
/m/01xqw,Cello
/m/02fsn,Double_bass
/m/085jw,Wind_instrument_and_woodwind_instrument
/m/0l14j_,Flute
/m/06ncr,Saxophone
/m/02pprs,Alto_saxophone
/m/03t22m,Soprano_saxophone
/m/01wy6,Clarinet
/m/05kms,Oboe
/m/01c3q,Bassoon
/m/03m5k,Harp
/m/0395lw,Bell
/m/03w41f,Church_bell
/m/027m70_,Jingle_bell
/m/0gy1t2s,Bicycle_bell
/m/07n_g,Tuning_fork
/m/0f8s22,Chime
/m/026fgl,Wind_chime
/m/0150b9,Change_ringing_(campanology)
/m/03qjg,Harmonica
/m/0mkg,Accordion
/m/0192l,Bagpipes
/m/02bxd,Didgeridoo
/m/0l14l2,Shofar
/m/07kc_,Theremin
/m/0l14t7,Singing_bowl
/m/05229,Musical_ensemble
/m/01vj9c,Bass_(instrument_role)
/m/01hgjl,Scratching_(performance_technique)
/m/0kpv1t,Music_genre
/m/064t9,Pop_music
/m/0glt670,Hip_hop_music
/m/04j_h4,Grime_music
/m/0n8zsc8,Trap_music
/m/02cz_7,Beatboxing
/m/06by7,Rock_music
/m/03lty,Heavy_metal
/m/05r6t,Punk_rock
/m/0dls3,Grunge
/m/0dl5d,Progressive_rock
/m/07sbbz2,Rock_and_roll
/m/05w3f,Psychedelic_rock
/m/06j6l,Rhythm_and_blues
/m/0gywn,Soul_music
/m/06cqb,Reggae
/m/0190y4,Dub
/m/01lyv,Country
/m/015y_n,Swing_music
/m/0gg8l,Bluegrass
/m/02x8m,Funk
/m/02w4v,Folk_music
/m/06j64v,Middle_Eastern_music
/m/03_d0,Jazz
/m/026z9,Disco
/m/0ggq0m,Classical_music
/m/05lls,Opera
/m/02lkt,Electronic_music
/m/03mb9,House_music
/m/07gxw,Techno
/m/07s72n,Dubstep
/m/029h7y,Electro
/m/0283d,Drum_and_bass
/m/01f9gb,Oldschool_jungle
/m/0m0jc,Electronica
/m/08cyft,Electronic_dance_music
/m/0fd3y,Ambient_music
/m/052smk,Drone_music
/m/07lnk,Trance_music
/m/0m0fw,Noise_music
/m/0bmfpc,UK_garage
/m/0g293,Music_of_Latin_America
/m/02ccj9,Cumbia
/m/0ln16,Salsa_music
/m/0kpck,Soca_music
/m/080nby,Kuduro
/m/05q7ms,Funk_carioca
/m/0326g,Flamenco
/m/0155w,Blues
/m/05fw6t,Music_for_children
/m/02v2lh,New-age_music
/m/0y4f8,Vocal_music
/m/0z9c,A_capella
/m/0164x2,Music_of_Africa
/m/0145m,Afrobeat
/m/022dgg,Kwaito
/m/02mscn,Christian_music
/m/016cjb,Gospel_music
/m/028sqc,Music_of_Asia
/m/015vgc,Carnatic_music
/m/0dq0md,Music_of_Bollywood
/m/06rqw,Ska
/m/02p0sh1,Traditional_music
/m/05rwpb,Independent_music
/t/dd00027,Musical_concepts
/m/074ft,Song
/m/09dsr,Melody
/m/05jcn,Musical_note
/m/022c7z,Beat
/m/05xp3j,Drum_beat
/m/01gp74,Chord
/m/0b128,Harmony
/m/021wwz,Bassline
/m/0kc2j,Loop
/m/03w6d1,Drone
/t/dd00028,Music_role
/m/025td0t,Background_music
/m/02cjck,Theme_music
/m/03r5q_,Jingle_(music)
/m/0l14gg,Soundtrack_music
/m/07pkxdp,Lullaby
/m/01z7dr,Video_game_music
/m/0140xf,Christmas_music
/m/0ggx5q,Dance_music
/m/04wptg,Wedding_music
/t/dd00029,Birthday_music
/t/dd00030,Music_mood
/t/dd00031,Happy_music
/t/dd00032,Funny_music
/t/dd00033,Sad_music
/t/dd00034,Tender_music
/t/dd00035,Exciting_music
/t/dd00036,Angry_music
/t/dd00037,Scary_music
/m/059j3w,Natural_sounds
/m/03m9d0z,Wind
/m/07q8f3b,Howl_(wind)
/m/09t49,Rustling_leaves
/t/dd00092,Wind_noise_(microphone)
/m/0jb2l,Thunderstorm
/m/0ngt1,Thunder
/m/0838f,Water
/m/06mb1,Rain
/m/07r10fb,Raindrop
/t/dd00038,Rain_on_surface
/m/0j6m2,Stream
/m/0j2kx,Waterfall
/m/05kq4,Ocean
/m/034srq,Waves_and_surf
/m/06wzb,Steam
/m/07swgks,Gurgling
/m/02_41,Fire
/m/07pzfmf,Crackle
/m/0fjy1,Wildfire
/t/dd00041,Sounds_of_things
/m/07yv9,Vehicle
/m/019jd,Boat_and_Water_vehicle
/m/0hsrw,Sailboat_and_sailing_ship
/m/056ks2,Rowboat_and_canoe_and_kayak
/m/02rlv9,Motorboat_and_speedboat
/m/06q74,Ship
/m/012f08,Motor_vehicle_(road)
/m/0k4j,Car
/m/0912c9,Vehicle_horn_and_car_horn_and_honking
/m/07qv_d5,Toot
/m/02mfyn,Car_alarm
/m/04gxbd,Power_windows_and_electric_windows
/m/07rknqz,Skidding
/m/0h9mv,Tire_squeal
/t/dd00134,Car_passing_by
/m/0ltv,Race_car_and_auto_racing
/m/07r04,Truck
/m/0gvgw0,Air_brake
/m/05x_td,Air_horn_and_truck_horn
/m/02rhddq,Reversing_beeps
/m/03cl9h,Ice_cream_truck_and_ice_cream_van
/m/01bjv,Bus
/m/03j1ly,Emergency_vehicle
/m/04qvtq,Police_car_(siren)
/m/012n7d,Ambulance_(siren)
/m/012ndj,Fire_engine_and_fire_truck_(siren)
/m/04_sv,Motorcycle
/m/0btp2,Traffic_noise_and_roadway_noise
/m/06d_3,Rail_transport
/m/07jdr,Train
/m/04zmvq,Train_whistle
/m/0284vy3,Train_horn
/m/01g50p,Railroad_car_and_train_wagon
/t/dd00048,Train_wheels_squealing
/m/0195fx,Subway_and_metro_and_underground
/m/0k5j,Aircraft
/m/014yck,Aircraft_engine
/m/04229,Jet_engine
/m/02l6bg,Propeller_and_airscrew
/m/09ct_,Helicopter
/m/0cmf2,Fixed-wing_aircraft_and_airplane
/t/dd00061,Non-motorized_land_vehicle
/m/0199g,Bicycle
/m/06_fw,Skateboard
/m/02mk9,Engine
/t/dd00065,Light_engine_(high_frequency)
/m/08j51y,Dental_drill_and_dentist's_drill
/m/01yg9g,Lawn_mower
/m/01j4z9,Chainsaw
/t/dd00066,Medium_engine_(mid_frequency)
/t/dd00067,Heavy_engine_(low_frequency)
/m/01h82_,Engine_knocking
/t/dd00130,Engine_starting
/m/07pb8fc,Idling
/m/07q2z82,Accelerating_and_revving_and_vroom
/t/dd00071,Domestic_sounds_and_home_sounds
/m/02dgv,Door
/m/03wwcy,Doorbell
/m/07r67yg,Ding-dong
/m/02y_763,Sliding_door
/m/07rjzl8,Slam
/m/07r4wb8,Knock
/m/07qcpgn,Tap
/m/07q6cd_,Squeak
/m/0642b4,Cupboard_open_or_close
/m/0fqfqc,Drawer_open_or_close
/m/04brg2,Dishes_and_pots_and_pans
/m/023pjk,Cutlery_and_silverware
/m/07pn_8q,Chopping_(food)
/m/0dxrf,Frying_(food)
/m/0fx9l,Microwave_oven
/m/02pjr4,Blender
/g/11b630rrvh,Kettle_whistle
/m/02jz0l,Water_tap_and_faucet
/m/0130jx,Sink_(filling_or_washing)
/m/03dnzn,Bathtub_(filling_or_washing)
/m/03wvsk,Hair_dryer
/m/01jt3m,Toilet_flush
/m/012xff,Toothbrush
/m/04fgwm,Electric_toothbrush
/m/0d31p,Vacuum_cleaner
/m/01s0vc,Zipper_(clothing)
/m/0zmy2j9,Velcro_and_hook_and_loop_fastener
/m/03v3yw,Keys_jangling
/m/0242l,Coin_(dropping)
/m/05mxj0q,Packing_tape_and_duct_tape
/m/01lsmm,Scissors
/m/02g901,Electric_shaver_and_electric_razor
/m/05rj2,Shuffling_cards
/m/0316dw,Typing
/m/0c2wf,Typewriter
/m/01m2v,Computer_keyboard
/m/081rb,Writing
/m/07pp_mv,Alarm
/m/07cx4,Telephone
/m/07pp8cl,Telephone_bell_ringing
/m/01hnzm,Ringtone
/m/01sb50,Cellphone_buzz_and_vibrating_alert
/m/02c8p,Telephone_dialing_and_DTMF
/m/015jpf,Dial_tone
/m/01z47d,Busy_signal
/m/046dlr,Alarm_clock
/m/03kmc9,Siren
/m/0dgbq,Civil_defense_siren
/m/030rvx,Buzzer
/m/01y3hg,Smoke_detector_and_smoke_alarm
/m/0c3f7m,Fire_alarm
/m/04fq5q,Foghorn
/m/0l156k,Whistle
/m/06hck5,Steam_whistle
/t/dd00077,Mechanisms
/m/02bm9n,Ratchet_and_pawl
/m/01x3z,Clock
/m/07qjznt,Tick
/m/07qjznl,Tick-tock
/m/0l7xg,Gears
/m/05zc1,Pulleys
/m/0llzx,Sewing_machine
/m/02x984l,Mechanical_fan
/m/025wky1,Air_conditioning
/m/024dl,Cash_register
/m/01m4t,Printer
/m/0dv5r,Camera
/m/07bjf,Single-lens_reflex_camera
/m/07k1x,Tools
/m/03l9g,Hammer
/m/03p19w,Jackhammer
/m/01b82r,Sawing
/m/02p01q,Filing_(rasp)
/m/023vsd,Sanding
/m/0_ksk,Power_tool
/m/01d380,Drill
/m/014zdl,Explosion
/m/032s66,Gunshot_and_gunfire
/m/04zjc,Machine_gun
/m/02z32qm,Fusillade
/m/0_1c,Artillery_fire
/m/073cg4,Cap_gun
/m/0g6b5,Fireworks
/g/122z_qxw,Firecracker
/m/07qsvvw,Burst_and_pop
/m/07pxg6y,Eruption
/m/07qqyl4,Boom
/m/0193bn,Sonic_boom
/m/083vt,Wood
/m/07pczhz,Chop
/m/07pl1bw,Splinter
/m/07qs1cx,Crack
/m/07pc8l3,Snap
/m/039jq,Glass
/m/07q7njn,Chink_and_clink
/m/07rn7sz,Shatter
/m/04k94,Liquid
/m/07rrlb6,Splash_and_splatter
/m/07p6mqd,Slosh
/m/07qlwh6,Squish
/m/07r5v4s,Drip
/m/07prgkl,Pour
/m/07pqc89,Trickle_and_dribble
/t/dd00088,Gush
/m/07p7b8y,Fill_(with_liquid)
/m/07qlf79,Spray
/m/07ptzwd,Pump_(liquid)
/m/07ptfmf,Stir
/m/0dv3j,Boiling
/t/dd00089,Miscellaneous_sources
/m/0790c,Sonar
/m/04179zz,Duck_call_(hunting_tool)
/m/0dl83,Arrow
/m/07rqsjt,Whoosh_and_swoosh_and_swish
/m/07qnq_y,Thump_and_thud
/m/07rrh0c,Thunk
/t/dd00108,Clunk
/m/07pk7mg,Wobble
/t/dd00091,Sound_equipment
/m/0hg7b,Microphone
/m/0b_fwt,Electronic_tuner
/m/01vfsf,Guitar_amplifier
/m/02rr_,Effects_unit
/m/07m2kt,Chorus_effect
/t/dd00133,Specific_impact_sounds
/m/018w8,Basketball_bounce
/t/dd00098,Source-ambiguous_sounds
/t/dd00099,Generic_impact_sounds
/m/07pws3f,Bang
/m/07ryjzk,Slap_and_smack
/m/07rdhzs,Whack_and_thwack
/m/07pjjrj,Smash_and_crash
/m/07pc8lb,Breaking
/m/07pqn27,Bouncing
/m/07rbp7_,Whip
/m/07pyf11,Flap
/t/dd00109,Surface_contact
/m/07qb_dv,Scratch
/m/07qv4k0,Scrape
/m/07pdjhy,Rub
/m/07s8j8t,Roll
/m/07pt6mm,Grind
/t/dd00110,Deformable_shell
/m/07plct2,Crushing
/t/dd00112,Crumpling_and_crinkling
/m/07qcx4z,Tearing
/m/05n1m,Onomatopoeia
/t/dd000138,Brief_tone
/m/02fs_r,Beep_and_bleep
/m/07qwdck,Ping
/m/07phxs1,Ding
/m/07rv4dm,Clang
/m/07rpk1c,Twang
/m/07s02z0,Squeal
/m/07q8k13,Screech
/m/07qh7jl,Creak
/m/07qwyj0,Rustle
/m/07s34ls,Whir
/m/07qmpdm,Clatter
/m/07p9k1k,Sizzle
/m/07qc9xj,Clicking
/m/07rwm0c,Clickety-clack
/m/07phhsh,Rumble
/m/07r_r9m,Blare
/m/07qyrcz,Plop
/m/07qfgpx,Jingle_and_tinkle
/t/dd00118,Fizz
/m/07q34h3,Puff
/m/07rcgpl,Hum
/m/07p78v5,Zing
/t/dd00121,Boing
/m/07s12q4,Crunch
/m/028v0c,Silence
/t/dd00122,Other_sourceless
/m/01v_m0,Sine_wave
/m/0b9m1,Harmonic
/m/0hdsk,Chirp_tone
/m/0c1dj,Sound_effect
/m/07pt_g0,Pulse
/m/01fhw5,Infrasound
/m/017gp,Bass_(frequency_range)
/m/05szwhw,Ringing_(of_resonator)
/t/dd00123,Channel_and_environment_and_background
/t/dd00093,Acoustic_environment
/t/dd00125,Inside_and_small_room
/t/dd00126,Inside_and_large_room_or_hall
/t/dd00127,Inside_and_public_space
/t/dd00128,Outside_and_urban_or_manmade
/t/dd00129,Outside_and_rural_or_natural
/m/01b9nn,Reverberation
/m/01jnbd,Echo
/m/096m7z,Noise
/m/093_4n,Background_noise
/m/06_y0by,Environmental_noise
/m/09d1b1,Tape_hiss
/m/07rgkc5,Static
/m/06xkwv,Mains_hum
/m/0g12c5,Distortion
/m/08p9q4,Sidetone
/m/07szfh9,Cacophony
/m/0chx_,White_noise
/m/0cj0r,Pink_noise
/m/07p_0gm,Throbbing
/m/01jwx6,Vibration
/m/07bm98,Sound_reproduction
/m/07c52,Television
/m/06bz3,Radio
/m/0cfpc,Loudspeaker
/m/01b7fy,Headphones
/m/025l19,Recording
/m/07hvw1,Field_recording
/m/0174nj,Gramophone_record
/m/01www,Compact_disc
/m/04zc0,MP3
