birdnet,ebird2021,comment
Pipilo erythrophthalmus,eastow,
Pipilo maculatus,spotow,
Pipra fasciicauda,batman1,
Pipraeidea melanonota,fabtan1,
Pipreola riefferii,gabfru1,
Piprites chloris,wibpip1,
Piranga bidentata,flctan,
Piranga flava,heptan,
Piranga leucoptera,whwtan1,
Piranga ludoviciana,westan,
Piranga olivacea,scatan,
Piranga rubra,sumtan,
Pitangus lictor,leskis1,
Pitangus sulphuratus,grekis,
Pitta brachyura,indpit1,
Platycercus caledonicus,greros2,
Platycercus elegans,criros2,
Platycercus eximius,easros1,
Platyrinchus coronatus,gocspa1,
Platyrinchus mystaceus,whtspa1,
Platysteira cyanea,btweye2,
Plectrophenax nivalis,snobun,
Plegadis chihi,whfibi,
Plegadis falcinellus,gloibi,
Plocepasser mahali,wbswea1,
Ploceus cucullatus,vilwea1,
Ploceus manyar,strwea2,
Ploceus philippinus,baywea1,
Pluvialis apricaria,eugplo,
Pluvialis dominica,amgplo,
Pluvialis fulva,pagplo,
Pluvialis squatarola,bkbplo,
Pnoepyga pusilla,pywbab1,
Podiceps auritus,horgre,
Podiceps cristatus,grcgre1,
Podiceps grisegena,rengre,
Podiceps nigricollis,eargre,
Podilymbus podiceps,pibgre,
Poecile atricapillus,bkcchi,
Poecile carolinensis,carchi,
Poecile gambeli,mouchi,
Poecile hudsonicus,borchi2,
Poecile montanus,wiltit1,
Poecile palustris,martit2,
Poecile rufescens,chbchi,
Poecile sclateri,mexchi,
Poecilotriccus plumbeiceps,ocftof1,
Poecilotriccus sylvia,shtfly1,
Pogoniulus bilineatus,yertin1,
Pogoniulus chrysoconus,yeftin1,
Pogoniulus pusillus,reftin1,
Poliocrania exsul,chbant1,
Polioptila albiloris,whlgna2,
Polioptila bilineata,trogna2,
Polioptila caerulea,buggna,
Polioptila californica,calgna,
Polioptila dumicola,masgna1,
Polioptila melanura,bktgna,
Polioptila nigriceps,bkcgna,
Polioptila plumbea,trogna1,
Pomatorhinus horsfieldii,insbab1,
Pomatorhinus musicus,taiscb1,
Pomatorhinus ruficollis,sbsbab3,
Pomatorhinus schisticeps,wbsbab1,
Poodytes gramineus,litgra1,
Pooecetes gramineus,vesspa,
Poospiza nigrorufa,barwaf1,
Porphyrio martinica,purgal2,
Porphyrio melanotus,purswa6,
Porphyrio poliocephalus,purswa3,
Porphyrio porphyrio,purswa1,
Porzana carolina,sora,
Porzana porzana,spocra1,
Premnoplex brunnescens,spobar1,
Prinia flaviventris,yebpri1,
Prinia gracilis,grapri1,
Prinia hodgsonii,gybpri1,
Prinia inornata,plapri1,
Prinia maculosa,karpri1,
Prinia rufescens,rufpri1,
Prinia socialis,ashpri1,
Prinia subflava,tafpri1,
Prinia sylvatica,junpri1,
Procnias nudicollis,batbel1,
Procnias tricarunculatus,thwbel,
Progne chalybea,gybmar,
Progne subis,purmar,
Progne tapera,brcmar1,
Prosthemadera novaeseelandiae,tui1,
Protonotaria citrea,prowar,
Prunella collaris,alpacc1,
Prunella modularis,dunnoc1,
Psaltriparus minimus,bushti,
Psarocolius angustifrons,ruboro1,
Psarocolius bifasciatus,olioro1,
Psarocolius decumanus,creoro1,
Psarocolius montezuma,monoro1,
Psarocolius wagleri,chhoro1,
Pseudasthenes humicola,dutcan1,
Pseudibis papillosa,renibi1,
Pseudocolaptes boissonneautii,strtuf1,
Pseudoleistes guirahuro,yermar1,
Pseudoleistes virescens,baymar1,
Pseudonestor xanthophrys,maupar,
Pseudopipra pipra,whcman2,
Pseudoseisura lophotes,brncac1,
Psilopogon asiaticus,bltbar2,
Psilopogon chrysopogon,gowbar1,
Psilopogon duvaucelii,blebar1,
Psilopogon franklinii,gotbar2,
Psilopogon haemacephalus,copbar1,
Psilopogon lineatus,linbar1,
Psilopogon malabaricus,crfbar1,
Psilopogon mystacophanos,retbar1,
Psilopogon nuchalis,taibar2,
Psilopogon virens,grebar1,
Psilopogon viridis,whcbar1,
Psilopogon zeylanicus,brhbar1,
Psilorhinus morio,brnjay,
Psiloscops flammeolus,flaowl,
Psittacara erythrogenys,rempar,
Psittacara holochlorus,grnpar,
Psittacara leucophthalmus,whepar2,
Psittacara mitratus,mitpar,
Psittacara wagleri,scfpar1,
Psittacula alexandri,rebpar4,
Psittacula columboides,malpar1,
Psittacula cyanocephala,plhpar1,
Psittacula eupatria,alepar2,
Psittacula krameri,rorpar,
Psittacus erithacus,grepar,
Psophodes olivaceus,easwhi1,
Pternistis erckelii,ercfra,
Pterocles exustus,chbsan,
Pterodroma cookii,coopet,
Pterodroma externa,jufpet,
Pterodroma inexpectata,motpet,
Pterodroma neglecta,kerpet,
Pterodroma nigripennis,bkwpet,
Pterodroma sandwichensis,hawpet1,
Pteroglossus aracari,blnara1,
Pteroglossus castanotis,cheara1,
Pteroglossus torquatus,colara1,
Pteroptochos megapodius,moutur1,
Pterorhinus chinensis,bltlau1,
Pteruthius aeralatus,blyshb1,
Ptilinopus magnificus,wofdov1,
Ptiliogonys caudatus,ltsfly1,
Ptiliogonys cinereus,grsfly1,
Ptilonorhynchus violaceus,satbow1,
Ptilotula fusca,fushon1,
Ptilotula penicillata,whphon1,
Ptyonoprogne rupestris,eurcrm1,
Puffinus nativitatis,chrshe,
Puffinus newelli,towshe2,
Puffinus puffinus,manshe,
Pulsatrix perspicillata,speowl1,
Purnella albifrons,whfhon1,
Pycnonotus aurigaster,sohbul1,
Pycnonotus barbatus,combul2,
Pycnonotus cafer,revbul,
Pycnonotus goiavier,yevbul1,
Pycnonotus jocosus,rewbul,
Pycnonotus leucogenys,whcbul2,
Pycnonotus luteolus,whbbul2,
Pycnonotus plumosus,olwbul1,
Pycnonotus sinensis,livbul1,
Pycnonotus xanthopygos,whsbul1,
Pygochelidon cyanoleuca,bawswa1,
Pyriglena leucoptera,wsfeye1,
Pyrilia haematotis,brhpar1,
Pyrocephalus rubinus,verfly,
Pyroderus scutatus,rerfru1,
Pyrrhocorax graculus,yebcho1,
Pyrrhocorax pyrrhocorax,rebcho1,
Pyrrhomyias cinnamomeus,cinfly2,
Pyrrhula pyrrhula,eurbul,
Pyrrhura frontalis,mabpar,
Pyrrhura melanura,matpar2,
Querula purpurata,putfru1,
Quiscalus lugubris,cargra1,
Quiscalus major,botgra,
Quiscalus mexicanus,grtgra,
Quiscalus quiscula,comgra,
Rallus aquaticus,watrai1,
Rallus crepitans,clarai11,
Rallus elegans,kinrai4,
Rallus limicola,virrai,
Rallus obsoletus,ridrai1,
Ramphastos ambiguus,bkmtou1,
Ramphastos brevis,chotou1,
Ramphastos dicolorus,rebtou2,
Ramphastos sulfuratus,kebtou1,
Ramphastos toco,toctou1,
Ramphastos tucanus,whttou1,
Ramphastos vitellinus,chbtou1,
Ramphocaenus melanurus,lobgna5,
Ramphocelus bresilius,bratan1,
Ramphocelus carbo,sibtan2,
Ramphocelus dimidiatus,crbtan1,
Ramphocelus flammigerus,flrtan1,
Ramphocelus passerinii,y00599,
Recurvirostra americana,ameavo,
Recurvirostra avosetta,pieavo1,
Regulus ignicapilla,firecr1,
Regulus regulus,goldcr1,
Regulus satrapa,gockin,
Remiz pendulinus,euptit1,
Rhipidura albicollis,whtfan1,
Rhipidura albiscapa,gryfan1,
Rhipidura albogularis,spbfan1,
Rhipidura aureola,whbfan2,
Rhipidura fuliginosa,nezfan1,
Rhipidura javanica,piefan1,
Rhipidura leucophrys,wilwag1,
Rhipidura rufifrons,ruffan1,
Rhipidura rufiventris,norfan1,
Rhodinocichla rosea,rottan2,
Rhopospina fruticeti,mosfin1,
Rhynchocyclus olivaceus,olifla1,
Rhynchophanes mccownii,mcclon,
Rhynchotus rufescens,rewtin1,
Rhytipterna holerythra,rufmou1,
Rhytipterna simplex,gramou1,
Riparia riparia,banswa,
Rissa tridactyla,bklkit,
Rostrhamus sociabilis,snakit,
Rubigula erythropthalmos,spebul1,
Rubigula flaviventris,blcbul2,
Rubigula gularis,bkcbul1,
Rupicola peruvianus,andcot1,
Rupornis magnirostris,roahaw,
Rynchops niger,blkski,
Sakesphorus canadensis,blcant4,
Salpinctes obsoletus,rocwre,
Saltator atriceps,blhsal1,
Saltator atripennis,blwsal1,
Saltator aurantiirostris,gobsal1,
Saltator coerulescens,grasal3,
Saltator grandis,grasal2,
Saltator grossus,slcgro1,
Saltator maximus,butsal1,
Saltator olivascens,grasal4,
Saltator similis,grwsal1,
Saltator striatipectus,strsal1,
Saxicola caprata,piebus1,
Saxicola ferreus,grybus1,
Saxicola rubetra,whinch1,
Saxicola rubicola,stonec4,
Saxicola torquatus,afrsto1,
Sayornis nigricans,blkpho,
Sayornis phoebe,easpho,
Sayornis saya,saypho,
Scelorchilus rubecula,chutap1,
Schiffornis veraepacis,thlsch2,
Schiffornis virescens,gresch2,
Schoeniophylax phryganophilus,chospi2,
Schoeniparus brunneus,dusful1,
Sciaphylax hemimelaena,chtant2,
Sclateria naevia,silant1,
Scolopax minor,amewoo,
Scolopax rusticola,eurwoo,
Scytalopus argentifrons,siftap1,
Scytalopus fuscus,dustap1,
Scytalopus latrans,blatap1,
Scytalopus magellanicus,magtap1,
Scytalopus spillmanni,spitap2,
Scytalopus vicinior,nartap2,
Scythrops novaehollandiae,chbcuc2,
Seiurus aurocapilla,ovenbi1,
Selasphorus calliope,calhum,
Selasphorus platycercus,brthum,
Selasphorus rufus,rufhum,
Selasphorus sasin,allhum,
Semnornis ramphastinus,toubar1,
Sephanoides sephaniodes,grbfir1,
Sericornis frontalis,whbscr1,
Sericornis humilis,tasscr1,
Serinus canaria,comcan,
Serinus serinus,eurser1,
Serpophaga griseicapilla,gyctyr2,
Serpophaga subcristata,whctyr1,
Setophaga americana,norpar,
Setophaga caerulescens,btbwar,
Setophaga castanea,babwar,
Setophaga cerulea,cerwar,
Setophaga chrysoparia,gchwar,
Setophaga citrina,hoowar,
Setophaga coronata,yerwar,
Setophaga discolor,prawar,
Setophaga dominica,yetwar,
Setophaga fusca,bkbwar,
Setophaga graciae,grawar,
Setophaga kirtlandii,kirwar,
Setophaga magnolia,magwar,
Setophaga nigrescens,btywar,
Setophaga occidentalis,herwar,
Setophaga palmarum,palwar,
Setophaga pensylvanica,chswar,
Setophaga petechia,yelwar,
Setophaga pinus,pinwar,
Setophaga pitiayumi,tropar,
Setophaga ruticilla,amered,
Setophaga striata,bkpwar,
Setophaga tigrina,camwar,
Setophaga townsendi,towwar,
Setophaga virens,btnwar,
Sialia currucoides,moublu,
Sialia mexicana,wesblu,
Sialia sialis,easblu,
Sicalis flaveola,saffin,
Sicalis luteola,gryfin1,
Sicalis olivascens,gryfin3,
Sinosuthora webbiana,vitpar1,
Sirystes sibilator,sibsir1,
Sitta canadensis,rebnut,
Sitta carolinensis,whbnut,
Sitta europaea,eurnut2,
Sitta frontalis,vefnut1,
Sitta himalayensis,whtnut1,
Sitta pusilla,bnhnut,
Sitta pygmaea,pygnut,
Sittasomus griseicapillus,oliwoo1,
Sittiparus varius,vartit1,
Smicrornis brevirostris,weebil1,
Somateria mollissima,comeid,
Spatula clypeata,norsho,
Spatula cyanoptera,cintea,
Spatula discors,buwtea,
Spatula querquedula,gargan,
Sphecotheres vieilloti,ausfig1,
Sphyrapicus nuchalis,rensap,
Sphyrapicus ruber,rebsap,
Sphyrapicus thyroideus,wilsap,
Sphyrapicus varius,yebsap,
Spilornis cheela,crseag1,
Spinus barbatus,blcsis2,
Spinus lawrencei,lawgol,
Spinus magellanicus,hoosis1,
Spinus pinus,pinsis,
Spinus psaltria,lesgol,
Spinus spinus,eursis,
Spinus tristis,amegfi,
Spinus xanthogastrus,yebsis1,
Spiza americana,dickci,
Spizaetus ornatus,orheag1,
Spizaetus tyrannus,blheag1,
Spizella atrogularis,bkcspa,
Spizella breweri,brespa,
Spizella pallida,clcspa,
Spizella passerina,chispa,
Spizella pusilla,fiespa,
Spizelloides arborea,amtspa,
Sporophila angolensis,cbsfin,
Sporophila caerulescens,docsee1,
Sporophila corvina,varsee3,
Sporophila funerea,tbsfin1,
Sporophila lineola,linsee1,
Sporophila luctuosa,bawsee1,
Sporophila minuta,rubsee1,
Sporophila morelleti,whcsee1,
Sporophila nigricollis,yebsee1,
Sporophila torqueola,whcsee2,
Stachyris nigriceps,gytbab1,
Stelgidopteryx ruficollis,srwswa1,
Stelgidopteryx serripennis,nrwswa,
Stephanophorus diadematus,diatan1,
Stercorarius longicaudus,lotjae,
Stercorarius maccormicki,sopsku1,
Stercorarius parasiticus,parjae,
Stercorarius pomarinus,pomjae,
Sterna aurantia,rivter1,
Sterna dougallii,roster,
Sterna forsteri,forter,
Sterna hirundo,comter,
Sterna paradisaea,arcter,
Sternula albifrons,litter1,
Sternula antillarum,leater1,
Stigmatura budytoides,grwtyr1,
Stilpnia cayana,bubtan2,
Stilpnia larvata,gohtan1,
Strepera graculina,piecur1,
Strepera versicolor,grycur1,
Streptopelia capicola,rindov,
Streptopelia chinensis,spodov,
Streptopelia decaocto,eucdov,
Streptopelia decipiens,afmdov1,
Streptopelia orientalis,ortdov,
Streptopelia semitorquata,reedov1,
Streptopelia senegalensis,laudov1,
Streptopelia turtur,eutdov,
Streptopelia vinacea,vindov1,
Streptoprocne zonaris,whcswi,
Strix aluco,tawowl1,
Strix nebulosa,grgowl,
Strix occidentalis,spoowl,
Strix varia,brdowl,
Sturnella magna,easmea,
Sturnella neglecta,wesmea,
Sturnia malabarica,chtsta2,
Sturnia pagodarum,brasta1,
Sturnus unicolor,sposta1,
Sturnus vulgaris,eursta,
Suiriri suiriri,suifly1,
Sula dactylatra,masboo,
Sula leucogaster,brnboo,
Sula sula,refboo,
Surnia ulula,nohowl,
Surniculus lugubris,asidrc3,
Sylvia atricapilla,blackc1,
Sylvia borin,garwar1,
Sylvietta rufescens,capcro1,
Sylvietta whytii,refcro1,
Sylviorthorhynchus desmursii,demwir1,
Symposiachrus trivirgatus,spemon1,
Synallaxis albescens,pabspi1,
Synallaxis azarae,azaspi1,
Synallaxis brachyura,slaspi1,
Synallaxis erythrothorax,rubspi2,
Synallaxis frontalis,sofspi1,
Synallaxis gujanensis,plcspi1,
Synallaxis ruficapilla,rucspi1,
Synallaxis spixi,spispi1,
Synallaxis unirufa,rufspi1,
Syndactyla rufosuperciliata,bbfgle1,
Syndactyla subalaris,lifgle1,
Synoicus ypsilophorus,broqua1,
Syrigma sibilatrix,whiher1,
Systellura longirostris,bawnig1,
Tachuris rubrigastra,mcrtyr1,
Tachybaptus dominicus,leagre,
Tachybaptus ruficollis,litgre1,
Tachycineta bicolor,treswa,
Tachycineta thalassina,vigswa,
Tachyphonus coronatus,ructan1,
Tachyphonus delatrii,tactan1,
Tachyphonus rufus,whltan1,
Tadorna ferruginea,rudshe,
Tadorna tadorna,comshe,
Taenioptynx brodiei,colowl1,
Tangara arthus,goltan1,
Tangara chilensis,partan1,
Tangara gyrola,bahtan1,
Tapera naevia,strcuc1,
Taraba major,greant1,
Tarphonomus certhioides,chaear1,
Tarsiger cyanurus,refblu,
Tchagra australis,brctch1,
Tchagra senegalus,bkctch1,
Telophorus sulfureopectus,subbus1,
Telophorus zeylonus,bokmak1,
Tephrodornis pondicerianus,comwoo1,
Terenotriccus erythrurus,rutfly2,
Terenura maculata,stcant3,
Terpsiphone paradisi,aspfly1,
Terpsiphone viridis,afpfly1,
Tersina viridis,swatan1,
Thalasseus bergii,grcter1,
Thalasseus elegans,eleter1,
Thalasseus maximus,royter1,
Thalasseus sandvicensis,santer1,
Thalurania glaucopis,vicwoo2,
Thamnistes anabatinus,rusant1,
Thamnomanes ardesiacus,dutant2,
Thamnomanes caesius,cinant1,
Thamnophilus atrinucha,wesant1,
Thamnophilus bridgesi,blhant2,
Thamnophilus caerulescens,varant1,
Thamnophilus doliatus,barant1,
Thamnophilus multistriatus,bacant2,
Thamnophilus murinus,mocant1,
Thamnophilus palliatus,chbant2,
Thamnophilus ruficapillus,rucant1,
Thamnophilus schistaceus,plwant1,
Thectocercus acuticaudatus,bucpar,
Theristicus caerulescens,pluibi1,
Theristicus caudatus,bunibi1,
Theristicus melanopis,blfibi1,
Thlypopsis sordida,orhtan1,
Thlypopsis superciliaris,suphem1,
Thraupis abbas,yewtan1,
Thraupis episcopus,bugtan,
Thraupis palmarum,paltan1,
Thraupis sayaca,saytan1,
Thryomanes bewickii,bewwre,
Thryophilus pleurostictus,banwre1,
Thryophilus rufalbus,rawwre1,
Thryophilus sinaloa,sinwre1,
Thryothorus ludovicianus,carwre,
Tiaris olivaceus,yefgra1,
Tigrisoma lineatum,ruther1,
Tinamus major,gretin1,
Tityra cayana,blttit1,
Tityra semifasciata,mastit1,
Todiramphus chloris,colkin1,
Todiramphus sanctus,sackin1,
Todirostrum chrysocrotaphum,ybtfly1,
Todirostrum cinereum,cotfly1,
Todirostrum maculatum,sptfly1,
Todirostrum poliocephalum,gyhtof1,
Tolmomyias assimilis,yemfly1,
Tolmomyias flaviventris,yebfly1,
Tolmomyias poliocephalus,gycfly1,
Tolmomyias sulphurescens,yeofly1,
Toxostoma bendirei,benthr,
Toxostoma crissale,crithr,
Toxostoma curvirostre,cubthr,
Toxostoma lecontei,lecthr,
Toxostoma longirostre,lobthr,
Toxostoma redivivum,calthr,
Toxostoma rufum,brnthr,
Trachyphonus darnaudii,darbar1,
Trachyphonus vaillantii,crebar1,
Trichoglossus moluccanus,railor1,
Trichothraupis melanops,blgtan1,
Tringa brevipes,gyttat1,
Tringa erythropus,spored,
Tringa flavipes,lesyel,
Tringa glareola,woosan,
Tringa incana,wantat1,
Tringa melanoleuca,greyel,
Tringa nebularia,comgre,
Tringa ochropus,grnsan,
Tringa semipalmata,willet1,
Tringa solitaria,solsan,
Tringa stagnatilis,marsan,
Tringa totanus,comred1,
Trochalopteron erythrocephalum,chclau2,
Trochalopteron lineatum,strlau1,
Trochalopteron morrisonianum,whwlau1,
Troglodytes aedon,houwre,
Troglodytes hiemalis,winwre3,
Troglodytes ochraceus,ochwre1,
Troglodytes pacificus,pacwre1,
Troglodytes rufociliatus,rubwre2,
Troglodytes solstitialis,mouwre1,
Troglodytes troglodytes,winwre4,
Trogon caligatus,gartro1,
Trogon chionurus,whttro1,
Trogon collaris,coltro1,
Trogon curucui,blctro1,
Trogon elegans,eletro,
Trogon massena,slttro1,
Trogon melanocephalus,blhtro1,
Trogon melanurus,blttro1,
Trogon mexicanus,moutro1,
Trogon personatus,mastro1,
Trogon ramonianus,viotro3,
Trogon rufus,blttro2,
Trogon surrucura,surtro1,
Trogon viridis,gnbtro1,
Tunchiornis ochraceiceps,tacgre1,
Turdoides jardineii,armbab1,
Turdus albicollis,whnrob1,
Turdus amaurochalinus,crbthr1,
Turdus assimilis,whtrob1,
Turdus chiguanco,chithr1,
Turdus eunomus,dusthr2,
Turdus falcklandii,austhr1,
Turdus flavipes,yelthr1,
Turdus fumigatus,cocthr1,
Turdus fuscater,grethr1,
Turdus grayi,clcrob,
Turdus hortulorum,gybthr1,
Turdus ignobilis,blbthr1,
Turdus iliacus,redwin,
Turdus leucomelas,pabthr1,
Turdus libonyana,kurthr1,
Turdus merula,eurbla,
Turdus migratorius,amerob,
Turdus nudigenis,baerob1,
Turdus obscurus,eyethr,
Turdus pallidus,palthr1,
Turdus pelios,afrthr1,
Turdus philomelos,sonthr1,
Turdus pilaris,fieldf,
Turdus plebejus,mourob1,
Turdus plumbeus,relthr1,
Turdus rufiventris,rubthr1,
Turdus rufopalliatus,rubrob,
Turdus serranus,glbthr1,
Turdus simillimus,eurbla2,
Turdus torquatus,rinouz1,
Turdus viscivorus,misthr1,
Turtur chalcospilos,eswdov1,
Turtur tympanistria,tamdov1,
Tympanuchus cupido,grpchi,
Tympanuchus phasianellus,shtgro,
Tyranneutes stolzmanni,dwtman1,
Tyrannulus elatus,yectyr1,
Tyrannus couchii,coukin,
Tyrannus crassirostris,thbkin,
Tyrannus dominicensis,grykin,
Tyrannus forficatus,sctfly,
Tyrannus melancholicus,trokin,
Tyrannus savana,fotfly,
Tyrannus tyrannus,easkin,
Tyrannus verticalis,weskin,
Tyrannus vociferans,caskin,
Tyto alba,brnowl,
Upucerthia dumetaria,sctear1,
Upupa epops,hoopoe,
Uraeginthus bengalus,reccor,
Uria aalge,commur,
Urocissa erythroryncha,rbbmag,
Uropsila leucogastra,whbwre1,
Urosphena squameiceps,asistu1,
Vanellus armatus,blaplo1,
Vanellus chilensis,soulap1,
Vanellus coronatus,crolap1,
Vanellus indicus,rewlap1,
Vanellus malabaricus,yewlap2,
Vanellus miles,maslap1,
Vanellus resplendens,andlap1,
Vanellus spinosus,spwlap1,
Vanellus vanellus,norlap,
Vermivora chrysoptera,gowwar,
Vermivora cyanoptera,buwwar,
Vidua macroura,pitwhy,
Vireo altiloquus,bkwvir,
Vireo atricapilla,bkcvir1,
Vireo bellii,belvir,
Vireo cassinii,casvir,
Vireo chivi,chivir1,
Vireo crassirostris,thbvir,
Vireo flavifrons,yetvir,
Vireo flavoviridis,yegvir,
Vireo gilvus,warvir,
Vireo griseus,whevir,
Vireo gundlachii,cubvir1,
Vireo huttoni,hutvir,
Vireo hypochryseus,golvir1,
Vireo leucophrys,brcvir1,
Vireo olivaceus,reevir,
Vireo pallens,manvir1,
Vireo philadelphicus,phivir,
Vireo plumbeus,plsvir,
Vireo solitarius,buhvir,
Vireo vicinior,gryvir,
Vireolanius leucotis,scsvir1,
Vireolanius pulchellus,grsvir1,
Volatinia jacarina,blbgra1,
Xanthocephalus xanthocephalus,yehbla,
Xenops minutus,plaxen1,
Xenops rutilans,strxen1,
Xenus cinereus,tersan,
Xiphocolaptes promeropirhynchus,stbwoo1,
Xiphorhynchus erythropygius,spowoo1,
Xiphorhynchus flavigaster,ivbwoo1,
Xiphorhynchus fuscus,leswoo2,
Xiphorhynchus guttatus,butwoo1,
Xiphorhynchus lachrymosus,blswoo1,
Xiphorhynchus susurrans,cocwoo1,
Yuhina flavicollis,whiyuh1,
Yuhina gularis,sttyuh1,
Zapornia flavirostra,blacra1,
Zapornia fusca,rubcra1,
Zapornia parva,litcra1,
Zapornia pusilla,baicra1,
Zapornia tabuensis,spocra2,
Zenaida asiatica,whwdov,
Zenaida auriculata,eardov1,
Zenaida macroura,moudov,
Zenaida meloda,wepdov1,
Zentrygon frenata,wtqdov1,
Zimmerius chrysops,goftyr1,
Zimmerius parvus,paltyr3,
Zonotrichia albicollis,whtspa,
Zonotrichia atricapilla,gocspa,
Zonotrichia capensis,rucspa1,
Zonotrichia leucophrys,whcspa,
Zonotrichia querula,harspa,
Zoothera aurea,scathr2,
Zosterops japonicus,warwhe1,
Zosterops lateralis,silver3,
Zosterops palpebrosus,indwhe1,
Zosterops simplex,swiwhe1,
Zosterops virens,capwhe2,
