ioc_12_2,ebird2021,comment
cettia cetti,cetwar1,
cettia major,ccbwar1,
ceuthmochares aereus,yellow5,
ceuthmochares australis,yellow6,
ceyx argentatus,silkin1,
ceyx azureus,azukin1,
ceyx cajeli,vardwk5,
ceyx collectoris,vardwk11,
ceyx cyanopectus,inbkin2,
ceyx dispar,vardwk7,
ceyx erithaca,bkbkin1,
ceyx fallax,sulkin1,
ceyx flumenicola,norsik1,
ceyx gentianus,vardwk15,
ceyx lepidus,vardwk4,
ceyx malaitae,vardwk13,
ceyx margarethae,vardwk1,
ceyx meeki,vardwk12,
ceyx melanurus,phikin1,
ceyx mulcatus,vardwk8,
ceyx nigromaxilla,vardwk14,
ceyx pusillus,litkin1,
ceyx sacerdotis,vardwk9,
ceyx solitarius,vardwk6,
ceyx wallacii,vardwk2,
ceyx websteri,biskin1,
chaetocercus astreans,samwoo2,
chaetocercus berlepschi,esmwoo2,
chaetocercus bombus,litwoo5,
chaetocercus heliodor,gorwoo2,
chaetocercus jourdanii,ruswoo1,
chaetocercus mulsant,whbwoo6,
chaetops aurantius,orbroc1,
chaetops frenatus,rufroc1,
chaetoptila angustipluma,kioea,
chaetorhynchus papuensis,papdro1,
chaetura andrei,astswi1,
chaetura brachyura,shtswi1,
chaetura chapmani,chaswi2,
chaetura cinereiventris,grrswi1,
chaetura egregia,parswi1,
chaetura fumosa,corswi,
chaetura martinica,leaswi1,
chaetura meridionalis,sicswi1,
chaetura pelagica,chiswi,
chaetura spinicaudus,barswi,
chaetura vauxi,vauswi,
chalcomitra adelberti,butsun2,
chalcomitra amethystina,amesun2,
chalcomitra balfouri,socsun2,
chalcomitra fuliginosa,carsun2,
chalcomitra hunteri,hunsun2,
chalcomitra rubescens,gntsun1,
chalcomitra senegalensis,sccsun2,
chalcoparia singalensis,rucsun2,
chalcophaps indica,emedov2,
chalcophaps longirostris,emedov3,
chalcophaps stephani,stedov1,
chalcopsitta atra,blalor1,
chalcopsitta duivenbodei,brolor1,
chalcopsitta scintillata,yeslor1,
chalcostigma herrani,rabtho1,
chalcostigma heteropogon,brttho1,
chalcostigma olivaceum,olitho1,
chalcostigma ruficeps,ructho1,
chalcostigma stanleyi,blmtho1,
chalcothraupis ruficervix,gontan1,
chalybura buffonii,whvplu1,
chalybura urochrysia,brtplu1,
chamaea fasciata,wrenti,
chamaepetes goudotii,siwgua1,
chamaepetes unicolor,blagua1,
chamaetylas choloensis,choale1,
chamaetylas fuelleborni,whcale1,
chamaetylas poliocephala,brcale1,
chamaetylas poliophrys,retale1,
chamaeza campanisona,shtant1,
chamaeza meruloides,sucant1,
chamaeza mollissima,barant2,
chamaeza nobilis,strant3,
chamaeza ruficauda,rutant2,
chamaeza turdina,schant1,
charadrius alexandrinus,kenplo1,
charadrius alticola,punplo1,
charadrius asiaticus,casplo1,
charadrius bicinctus,dobplo1,
charadrius collaris,colplo1,
charadrius dealbatus,whfplo2,
charadrius dubius,lirplo,
charadrius falklandicus,twbplo1,
charadrius forbesi,forplo1,
charadrius hiaticula,corplo,
charadrius javanicus,javplo1,
charadrius leschenaultii,grsplo,
charadrius marginatus,whfplo1,
charadrius melodus,pipplo,
charadrius modestus,rucdot1,
charadrius mongolus,lesplo,
charadrius montanus,mouplo,
charadrius morinellus,eurdot,
charadrius nivosus,snoplo5,
charadrius obscurus,rebdot1,
charadrius pallidus,chbplo1,
charadrius pecuarius,kitplo1,
charadrius peronii,malplo1,
charadrius placidus,lobplo1,
charadrius ruficapillus,recplo1,
charadrius sanctaehelenae,sthplo1,
charadrius semipalmatus,semplo,
charadrius thoracicus,madplo1,
charadrius tricollaris,thbplo1,
charadrius veredus,oriplo1,
charadrius vociferus,killde,
charadrius wilsonia,wilplo,
charitospiza eucosma,cocfin2,
charminetta wilhelminae,pyglor1,
charmosyna josefinae,joslor1,
charmosyna papou,paplor1,
charmosyna stellae,paplor1,
charmosynoides margarethae,duclor1,
charmosynopsis pulchella,failor1,
charmosynopsis toxopei,blflor1,
chasiempis ibidis,elepai4,
chasiempis sandwichensis,elepai,
chasiempis sclateri,elepai5,
chauna chavaria,norscr1,
chauna torquata,souscr1,
chelictinia riocourii,sctkit1,
chelidoptera tenebrosa,swwpuf1,
chelidorhynx hypoxanthus,yebfan1,
chenonetta jubata,manduc1,
chenorhamphus campbelli,brbfai2,
chenorhamphus grayi,brbfai1,
cheramoeca leucosterna,whbswa3,
chersomanes albofasciata,sphlar1,
chersomanes beesleyi,beelar1,
chersophilus duponti,duplar1,
chionis albus,snoshe2,
chionis minor,blfshe1,
chionomesa fimbriata,glteme1,
chionomesa lactea,saseme1,
chiroxiphia boliviana,yunman1,
chiroxiphia caudata,swtman1,
chiroxiphia lanceolata,latman1,
chiroxiphia linearis,lotman1,
chiroxiphia pareola,blbman1,
chlamydera cerviniventris,fabbow1,
chlamydera guttata,wesbow1,
chlamydera lauterbachi,yebbow1,
chlamydera maculata,spobow1,
chlamydera nuchalis,grebow1,
chlamydochaera jefferyi,fruith1,
chlamydotis macqueenii,macbus1,
chlamydotis undulata,houbus1,
chleuasicus atrosuperciliaris,blbpar3,
chlidonias albostriatus,blfter1,
chlidonias hybrida,whiter2,
chlidonias leucopterus,whwter,
chlidonias niger,blkter,
chloebia gouldiae,goufin3,
chloephaga hybrida,kelgoo1,
chloephaga melanoptera,andgoo1,
chloephaga picta,uplgoo1,
chloephaga poliocephala,ashgoo1,
chloephaga rubidiceps,ruhgoo1,
chlorestes candida,whbeme1,
chlorestes cyanus,whcsap1,
chlorestes eliciae,bltgol1,
chlorestes julie,vibhum1,
chlorestes notata,bucsap1,
chloridops kona,kongro,
chloris ambigua,bkhgre1,
chloris chloris,eurgre1,
chloris kittlitzi,origre,
chloris monguilloti,viegre2,
chloris sinica,origre,
chloris spinoides,yebgre4,
chloroceryle aenea,ampkin1,
chloroceryle amazona,amakin1,
chloroceryle americana,grnkin,
chloroceryle inda,garkin1,
chlorochrysa calliparaea,oretan1,
chlorochrysa nitidissima,multan1,
chlorochrysa phoenicotis,glgtan1,
chlorocichla falkensteini,yengre1,
chlorocichla flaviventris,yebgre1,
chlorocichla laetissima,joygre1,
chlorocichla prigoginei,prigre1,
chlorocichla simplex,simgre1,
chlorodrepanis flava,oahama,
chlorodrepanis stejnegeri,kauama,
chlorodrepanis virens,hawama,
chlorophanes spiza,grehon1,
chlorophoneus bocagei,gygbus1,
chlorophoneus kupeensis,mtkbus1,
chlorophoneus multicolor,macbus2,
chlorophoneus nigrifrons,blfbus1,
chlorophoneus olivaceus,olibus1,
chlorophoneus sulfureopectus,subbus1,
chlorophonia callophrys,gobchl1,
chlorophonia cyanea,blnchl1,
chlorophonia cyanocephala,goreup1,
chlorophonia elegantissima,eleeup1,
chlorophonia flavirostris,yecchl1,
chlorophonia musica,anteup1,
chlorophonia occipitalis,blcchl1,
chlorophonia pyrrhophrys,chbchl1,
chloropicus namaquus,beawoo1,
chloropicus pyrrhogaster,fibwoo1,
chloropicus xantholophus,gocwoo3,
chloropipo flavicapilla,yehman2,
chloropipo unicolor,jetman2,
chloropsis aurifrons,goflea1,
chloropsis cochinchinensis,blwlea1,
chloropsis cyanopogon,leglea1,
chloropsis flavipennis,philea1,
chloropsis hardwickii,orblea1,
chloropsis jerdoni,jerlea1,
chloropsis kinabaluensis,borlea1,
chloropsis lazulina,orblea1,
chloropsis media,sumlea1,
chloropsis moluccensis,blwlea1,
chloropsis palawanensis,yetlea1,
chloropsis sonnerati,grglea1,
chloropsis venusta,blmlea1,
chlorornis riefferii,grgtan1,
chlorospingus canigularis,atbtan1,
chlorospingus flavigularis,ytbtan1,
chlorospingus flavopectus,cobtan1,
chlorospingus inornatus,pibtan1,
chlorospingus parvirostris,shbbut1,
chlorospingus pileatus,scbtan1,
chlorospingus semifuscus,dubtan1,
chlorospingus tacarcunae,tabtan1,
chlorostilbon alice,grteme1,
chlorostilbon assimilis,gareme1,
chlorostilbon gibsoni,rebeme1,
chlorostilbon lucidus,glbeme1,
chlorostilbon melanorhynchus,weseme1,
chlorostilbon mellisugus,blteme1,
chlorostilbon olivaresi,chieme1,
chlorostilbon poortmani,shteme1,
chlorostilbon russatus,copeme1,
chlorostilbon stenurus,nateme2,
chlorothraupis carmioli,olitan1,
chlorothraupis frenata,olitan1,
chlorothraupis olivacea,lestan,
chlorothraupis stolzmanni,ocbtan1,
cholornis paradoxus,thtpar1,
cholornis unicolor,bropar1,
chondestes grammacus,larspa,
chondrohierax uncinatus,hobkit,
chondrohierax wilsonii,hobkit,
chordeiles acutipennis,lesnig,
chordeiles gundlachii,antnig,
chordeiles minor,comnig,
chordeiles nacunda,nacnig1,
chordeiles pusillus,leanig1,
chordeiles rupestris,sacnig1,
chroicocephalus brunnicephalus,bnhgul1,
chroicocephalus bulleri,blbgul1,
chroicocephalus cirrocephalus,grhgul,
chroicocephalus genei,slbgul1,
chroicocephalus hartlaubii,hargul1,
chroicocephalus maculipennis,brhgul2,
chroicocephalus novaehollandiae,silgul2,
chroicocephalus philadelphia,bongul,
chroicocephalus ridibundus,bkhgul,
chroicocephalus saundersi,saugul2,
chroicocephalus serranus,andgul1,
chrysococcyx basalis,hobcuc1,
chrysococcyx caprius,didcuc1,
chrysococcyx cupreus,afecuc1,
chrysococcyx flavigularis,yetcuc1,
chrysococcyx klaas,klacuc1,
chrysococcyx lucidus,shbcuc1,
chrysococcyx maculatus,asecuc1,
chrysococcyx megarhynchus,lobcuc1,
chrysococcyx meyerii,webcuc1,
chrysococcyx minutillus,libcuc1,
chrysococcyx osculans,blecuc1,
chrysococcyx ruficollis,rtbcuc1,
chrysococcyx xanthorhynchus,viocuc1,
chrysocolaptes erythrocephalus,rehfla1,
chrysocolaptes festivus,whnwoo1,
chrysocolaptes guttacristatus,grefla1,
chrysocolaptes haematribon,luzfla1,
chrysocolaptes lucidus,busfla1,
chrysocolaptes socialis,grefla1,
chrysocolaptes stricklandi,crbfla1,
chrysocolaptes strictus,javfla1,
chrysocolaptes xanthocephalus,yeffla1,
chrysocorythus estherae,mouser1,
chrysocorythus mindanensis,mouser1,
chrysolampis mosquitus,ruthum1,
chrysolophus amherstiae,laaphe1,
chrysolophus pictus,golphe,
chrysomma altirostre,jerbab1,
chrysomma sinense,yeebab1,
chrysomus icterocephalus,yehbla2,
chrysomus ruficapillus,chcbla2,
chrysophlegma flavinucha,greyel1,
chrysophlegma mentale,chtwoo1,
chrysophlegma miniaceum,banwoo2,
chrysothlypis chrysomelas,baytan2,
chrysothlypis salmoni,sawtan1,
chrysuronia brevirostris,whceme1,
chrysuronia coeruleogularis,sathum1,
chrysuronia goudoti,shghum1,
chrysuronia grayi,blhsap1,
chrysuronia humboldtii,humsap2,
chrysuronia leucogaster,plbeme1,
chrysuronia lilliae,sabhum1,
chrysuronia oenone,gotsap1,
chrysuronia versicolor,vereme1,
chunga burmeisteri,bllser1,
cichladusa arquata,copthr1,
cichladusa guttata,spmthr1,
cichladusa ruficauda,rtpthr1,
cichlocolaptes leucophrus,pabtre1,
cichlocolaptes mazarbarnetti,crytre1,
cichlopsis leucogenys,rubsol1,
cicinnurus regius,kbopar1,
ciconia abdimii,abdsto1,
ciconia boyciana,oristo1,
ciconia ciconia,whisto1,
ciconia episcopus,wonsto1,
ciconia maguari,magsto1,
ciconia nigra,blasto1,
ciconia stormi,stosto1,
cinclidium frontale,blfrob1,
cinclocerthia gutturalis,gratre1,
cinclocerthia ruficauda,brotre1,
cinclodes albidiventris,chwcin1,
cinclodes albiventris,crwcin1,
cinclodes antarcticus,blacin1,
cinclodes aricomae,roycin1,
cinclodes atacamensis,whwcin1,
cinclodes comechingonus,corcin1,
cinclodes excelsior,stbcin1,
cinclodes fuscus,buwcin1,
cinclodes nigrofumosus,seacin1,
cinclodes olrogi,olrcin1,
cinclodes oustaleti,gyfcin1,
cinclodes pabsti,lotcin1,
cinclodes palliatus,whbcin1,
cinclodes patagonicus,dabcin1,
cinclodes taczanowskii,surcin1,
cincloramphus bivittatus,bubbus1,
cincloramphus cruralis,broson1,
cincloramphus grosvenori,bisthi1,
cincloramphus llaneae,bouthi1,
cincloramphus macrurus,tawgra2,
cincloramphus mariae,necgra1,
cincloramphus mathewsi,rufson1,
cincloramphus rubiginosus,rusthi1,
cincloramphus rufus,lolwar1,
cincloramphus timoriensis,tawgra3,
cincloramphus turipavae,guathi1,
cincloramphus whitneyi,guathi1,
cinclosoma ajax,paqthr1,
cinclosoma alisteri,nulqut1,
cinclosoma castaneothorax,cbqthr1,
cinclosoma castanotum,chequt1,
cinclosoma cinnamomeum,ciqthr1,
cinclosoma clarum,copqut1,
cinclosoma marginatum,chbqut1,
cinclosoma punctatum,spqthr1,
cinclus cinclus,whtdip1,
cinclus leucocephalus,whcdip1,
cinclus mexicanus,amedip,
cinclus pallasii,brodip1,
cinclus schulzii,rutdip1,
cinnycerthia fulva,fulwre1,
cinnycerthia olivascens,shawre1,
cinnycerthia peruana,perwre1,
cinnycerthia unirufa,rufwre1,
cinnyricinclus leucogaster,vibsta2,
cinnyris afer,gdcsun2,
cinnyris asiaticus,pursun4,
cinnyris batesi,batsun2,
cinnyris bifasciatus,pubsun4,
cinnyris bouvieri,ortsun3,
cinnyris buettikoferi,apbsun2,
cinnyris chalcomelas,vibsun2,
cinnyris chalybeus,sdcsun3,
cinnyris chloropygius,olbsun3,
cinnyris coccinigastrus,splsun2,
cinnyris comorensis,anjsun2,
cinnyris congensis,consun2,
cinnyris coquerellii,maysun2,
cinnyris cupreus,copsun2,
cinnyris dussumieri,seysun2,
cinnyris erythrocercus,recsun2,
cinnyris fuelleborni,edcsun1,
cinnyris fuscus,dussun2,
cinnyris gertrudis,miosun2,
cinnyris habessinicus,shisun3,
cinnyris hellmayri,shisun3,
cinnyris hofmanni,shesun2,
cinnyris humbloti,humsun2,
cinnyris johannae,johsun2,
cinnyris jugularis,olbsun4,
cinnyris lotenius,lobsun2,
cinnyris loveridgei,lovsun3,
cinnyris ludovicensis,mdcsun3,
cinnyris manoensis,miosun3,
cinnyris mariquensis,marsun2,
cinnyris mediocris,edcsun3,
cinnyris minullus,tinsun2,
cinnyris moreaui,morsun2,
cinnyris nectarinioides,bkbsun1,
cinnyris neergaardi,neesun2,
cinnyris notatus,madsun1,
cinnyris osea,palsun2,
cinnyris oustaleti,oussun2,
cinnyris pembae,pemsun2,
cinnyris prigoginei,prisun3,
cinnyris pulchellus,beasun2,
cinnyris regius,regsun2,
cinnyris reichenowi,ndcsun2,
cinnyris rockefelleri,rocsun2,
cinnyris rufipennis,ruwsun2,
cinnyris shelleyi,shesun2,
cinnyris solaris,flbsun2,
cinnyris sovimanga,sousun2,
cinnyris stuhlmanni,stusun1,
cinnyris superbus,supsun2,
cinnyris talatala,whbsun2,
cinnyris tsavoensis,tsasun1,
cinnyris ursulae,urssun2,
cinnyris usambaricus,edcsun4,
cinnyris venustus,varsun2,
cinnyris whytei,mdcsun3,
circaetus beaudouini,beasne1,
circaetus cinerascens,baseag1,
circaetus cinereus,brseag1,
circaetus fasciolatus,faseag1,
circaetus gallicus,shteag1,
circaetus pectoralis,bkbsne1,
circus aeruginosus,wemhar1,
circus approximans,swahar1,
circus assimilis,spohar1,
circus buffoni,lowhar1,
circus cinereus,cinhar1,
circus cyaneus,norhar1,
circus hudsonius,norhar2,
circus macrosceles,reuhar3,
circus macrourus,palhar1,
circus maillardi,reuhar2,
circus maurus,blahar1,
circus melanoleucos,piehar1,
circus pygargus,monhar1,
circus ranivorus,afmhar1,
circus spilonotus,easmah1,
circus spilothorax,easmah2,
ciridops anna,ulahaw,
cissa chinensis,gremag1,
cissa hypoleuca,yebmag1,
cissa jefferyi,borgrm1,
cissa thalassina,shtmag1,
cissomela pectoralis,banhon1,
cissopis leverianus,magtan2,
cisticola aberdare,abecis1,
cisticola aberrans,rolcis2,
cisticola anderseni,whtcis1,
cisticola angusticauda,tabcis1,
cisticola anonymus,chacis1,
cisticola aridulus,descis1,
cisticola ayresii,wiscis1,
cisticola bakerorum,kilcis1,
cisticola bodessa,borcis1,
cisticola brachypterus,sifcis1,
cisticola brunnescens,pepcis1,
cisticola bulliens,bubcis1,
cisticola cantans,sincis1,
cisticola carruthersi,carcis1,
cisticola cherina,madcis2,
cisticola chiniana,ratcis1,
cisticola chubbi,chucis1,
cisticola cinereolus,ashcis1,
cisticola cinnamomeus,paccis1,
cisticola dambo,clscis1,
cisticola distinctus,waicis1,
cisticola emini,rolcis2,
cisticola erythrops,refcis1,
cisticola exilis,gohcis1,
cisticola eximius,blncis1,
cisticola fulvicapilla,pipcis2,
cisticola galactotes,wincis2,
cisticola guinea,dorcis1,
cisticola haematocephalus,wincis4,
cisticola haesitatus,soccis1,
cisticola hunteri,huncis1,
cisticola juncidis,zitcis1,
cisticola lais,waicis1,
cisticola lateralis,whicis1,
cisticola luapula,wincis5,
cisticola lugubris,wincis6,
cisticola marginatus,wincis3,
cisticola melanurus,sltcis1,
cisticola nana,tincis3,
cisticola natalensis,crocis1,
cisticola nigriloris,bllcis1,
cisticola njombe,chucis2,
cisticola pipiens,chicis1,
cisticola restrictus,tarcis1,
cisticola robustus,stocis1,
cisticola ruficeps,repcis1,
cisticola rufilatus,grycis1,
cisticola rufus,rufcis1,
cisticola subruficapilla,rehcis2,
cisticola textrix,clocis1,
cisticola tinniens,tincis1,
cisticola troglodytes,foxcis1,
cisticola woosnami,tricis1,
cistothorus apolinari,apowre1,
cistothorus meridae,merwre1,
cistothorus palustris,marwre,
cistothorus platensis,sedwre,
cistothorus stellaris,sedwre1,
cittura cyanotis,lilkin1,
cittura sanghirensis,lilkin1,
cladorhynchus leucocephalus,bansti1,
clamator coromandus,chwcuc1,
clamator glandarius,grscuc1,
clamator jacobinus,piecuc1,
clamator levaillantii,levcuc1,
clanga clanga,grseag1,
clanga hastata,inseag1,
clanga pomarina,leseag1,
clangula hyemalis,lotduc,
claravis pretiosa,blgdov1,
cleptornis marchei,goweye1,
clibanornis dendrocolaptoides,cangro1,
clibanornis erythrocephalus,hhfgle1,
clibanornis rectirostris,ccfgle1,
clibanornis rubiginosus,rufgle1,
clibanornis rufipectus,samfog1,
climacteris affinis,whbtre2,
climacteris erythrops,rebtre1,
climacteris melanurus,bkttre1,
climacteris picumnus,brotre2,
climacteris rufus,ruftre3,
clytoceyx rex,shbkoo1,
clytoctantes alixii,rebbus1,
clytoctantes atrogularis,ronbus1,
clytomyias insignis,orcfai1,
clytorhynchus hamlini,renshr1,
clytorhynchus nigrogularis,bktshr1,
clytorhynchus pachycephaloides,soushr2,
clytorhynchus sanctaecrucis,bktshr2,
clytorhynchus vitiensis,fijshr1,
clytospiza monteiri,brotwi1,
cnemarchus erythropygius,rrbtyr1,
cnemarchus rufipennis,rwbtyr1,
cnemathraupis aureodorsalis,gbmtan1,
cnemathraupis eximia,bcmtan1,
cnemophilus loriae,lorsat1,
cnemophilus macgregorii,cresat1,
cnemoscopus rubrirostris,gyhbut1,
cnemotriccus fuscatus,fusfly1,
cnipodectes subbrunneus,brofly1,
cnipodectes superrufus,ruftwi1,
coccopygia bocagei,swewax1,
coccopygia melanotis,swewax3,
coccopygia quartinia,yebwax2,
coccothraustes coccothraustes,hawfin,
coccycua cinerea,asccuc1,
coccycua minuta,litcuc2,
coccycua pumila,dwacuc1,
coccyzus americanus,yebcuc,
coccyzus erythropthalmus,bkbcuc,
coccyzus euleri,pebcuc1,
coccyzus ferrugineus,coccuc1,
coccyzus lansbergi,gyccuc,
coccyzus longirostris,hislic1,
coccyzus melacoryphus,dabcuc1,
coccyzus merlini,grelic1,
coccyzus minor,mancuc,
coccyzus pluvialis,chbcuc4,
coccyzus rufigularis,babcuc4,
coccyzus vetula,jamlic1,
coccyzus vieilloti,purlic1,
cochlearius cochlearius,bobher1,
cochoa azurea,javcoc1,
cochoa beccarii,sumcoc1,
cochoa purpurea,purcoc1,
cochoa viridis,grecoc1,
coeligena bonapartei,gobsta1,
coeligena coeligena,broinc1,
coeligena helianthea,bltsta1,
coeligena iris,raista1,
coeligena lutetiae,buwsta1,
coeligena orina,dussta1,
coeligena phalerata,whtsta1,
coeligena prunellei,blainc1,
coeligena torquata,colinc1,
coeligena violifer,vitsta1,
coeligena wilsoni,broinc2,
coenocorypha aucklandica,subsni1,
coenocorypha barrierensis,noisni1,
coenocorypha huegeli,snisni1,
coenocorypha iredalei,soisni1,
coenocorypha pusilla,chisni1,
coereba flaveola,banana,
colaptes aeruginosus,goowoo1,
colaptes atricollis,blnwoo1,
colaptes auratus,norfli,
colaptes auricularis,grcwoo1,
colaptes campestris,camfli1,
colaptes chrysoides,gilfli,
colaptes fernandinae,ferfli1,
colaptes melanochloros,grbwoo3,
colaptes oceanicus,berfli1,
colaptes pitius,chifli1,
colaptes punctigula,spbwoo1,
colaptes rivolii,crmwoo2,
colaptes rubiginosus,goowoo1,
colaptes rupicola,andfli1,
colibri coruscans,spvear1,
colibri cyanotus,lesvio1,
colibri delphinae,brvear1,
colibri serrirostris,wvvear1,
colibri thalassinus,grnvie1,
colinus cristatus,crebob1,
colinus leucopogon,crebob1,
colinus nigrogularis,bltbob1,
colinus virginianus,norbob,
colius castanotus,rebmou1,
colius colius,whbmou1,
colius leucocephalus,whhmou1,
colius striatus,spemou2,
collocalia affinis,pltswi1,
collocalia dodgei,cavswi3,
collocalia esculenta,gloswi1,
collocalia isonota,ridswi1,
collocalia linchi,cavswi2,
collocalia marginata,gyrswi5,
collocalia natalis,chiswi1,
collocalia neglecta,draswi1,
collocalia sumbawae,tenswi1,
collocalia troglodytes,pygswi2,
collocalia uropygialis,satswi1,
colluricincla affinis,litshr6,
colluricincla boweri,bowsht1,
colluricincla discolor,litshr4,
colluricincla fortis,litshr5,
colluricincla harmonica,grysht1,
colluricincla megarhyncha,rufsht2,
colluricincla obscura,litshr1,
colluricincla rufogaster,litshr2,
colluricincla tappenbecki,litshr3,
colluricincla tenebrosa,soosht1,
colluricincla woodwardi,sansht2,
coloeus dauuricus,daujac1,
coloeus monedula,eurjac,
colonia colonus,lottyr1,
colorhamphus parvirostris,pattyr2,
columba albinucha,whnpig1,
columba albitorques,whcpig1,
columba argentina,siwpig1,
columba arquatrix,rampig1,
columba bollii,bolpig1,
columba delegorguei,delpig1,
columba elphinstonii,niwpig1,
columba eversmanni,pabpig1,
columba guinea,spepig1,
columba hodgsonii,spwpig1,
columba iriditorques,brnpig1,
columba janthina,jawpig1,
columba jouyi,bonpig1,
columba junoniae,laupig1,
columba larvata,lemdov2,
columba leucomela,whhpig1,
columba leuconota,snopig1,
columba livia,rocpig,
columba malherbii,satpig1,
columba oenas,stodov1,
columba oliviae,sompig1,
columba pallidiceps,yelpig1,
columba palumboides,anwpig1,
columba palumbus,cowpig1,
columba pollenii,compig1,
columba pulchricollis,aswpig1,
columba punicea,pacpig1,
columba rupestris,hilpig1,
columba sjostedti,campig1,
columba thomensis,marpig1,
columba torringtoniae,ceywop1,
columba trocaz,tropig1,
columba unicincta,afepig1,
columba versicolor,ryupig1,
columba vitiensis,metpig1,
columbina buckleyi,ecgdov1,
columbina cruziana,crgdov1,
columbina cyanopis,begdov2,
columbina inca,incdov,
columbina minuta,pbgdov1,
columbina passerina,cogdov,
columbina picui,pigdov1,
columbina squammata,scadov1,
columbina talpacoti,rugdov,
compsothraupis loricata,scttan1,
conioptilon mcilhennyi,blfcot1,
conirostrum albifrons,capcon1,
conirostrum bicolor,biccon1,
conirostrum binghami,giacon1,
conirostrum cinereum,cincon1,
conirostrum ferrugineiventre,whbcon1,
conirostrum leucogenys,whecon1,
conirostrum margaritae,pebcon1,
conirostrum rufum,rubcon1,
conirostrum sitticolor,blbcon1,
conirostrum speciosum,chvcon1,
conirostrum tamarugense,tamcon1,
conopias albovittatus,whrfly,
conopias cinchoneti,lebfly2,
conopias parvus,yetfly2,
conopias trivirgatus,thsfly2,
conopophaga ardesiaca,slagna1,
conopophaga aurita,chbgna1,
conopophaga castaneiceps,chcgna1,
conopophaga cearae,rufgna2,
conopophaga lineata,rufgna3,
conopophaga melanogaster,blbgna1,
conopophaga melanops,blcgna1,
conopophaga peruviana,astgna1,
conopophaga roberti,hoogna1,
conopophila albogularis,rubhon2,
conopophila rufogularis,ruthon1,
conopophila whitei,gryhon1,
conostoma aemodium,grepar1,
conothraupis mesoleuca,cobtan2,
conothraupis speculigera,bawtan1,
contopus albogularis,whtpew1,
contopus caribaeus,cubpew1,
contopus cinereus,tropew1,
contopus cooperi,olsfly,
contopus fumigatus,smcpew1,
contopus hispaniolensis,hispew1,
contopus latirostris,leapew1,
contopus lugubris,darpew1,
contopus nigrescens,blapew1,
contopus ochraceus,ochpew1,
contopus pallidus,jampew1,
contopus pertinax,grepew,
contopus punensis,tropew1,
contopus sordidulus,wewpew,
contopus virens,eawpew,
conuropsis carolinensis,carpar,
copsychus albiventris,andsha1,
copsychus albospecularis,mamrob1,
copsychus cebuensis,blasha1,
copsychus fulicatus,indrob1,
copsychus luzoniensis,whbsha1,
copsychus malabaricus,whrsha,
copsychus mindanensis,phimar1,
copsychus niger,whvsha1,
copsychus pyrropygus,rutsha2,
copsychus saularis,magrob,
copsychus sechellarum,semrob1,
copsychus stricklandii,whrsha,
copsychus superciliaris,vissha1,
coracias abyssinicus,abyrol2,
coracias affinis,indrol3,
coracias benghalensis,indrol2,
coracias caudatus,librol2,
coracias cyanogaster,blbrol1,
coracias garrulus,eurrol1,
coracias naevius,rucrol2,
coracias spatulatus,ratrol2,
coracias temminckii,puwrol1,
coracina atriceps,molcus1,
coracina bicolor,piecus1,
coracina boyeri,boycus1,
coracina caeruleogrisea,stbcus1,
coracina caledonica,melcus1,
coracina dobsoni,andcus1,
coracina fortis,burcus1,
coracina ingens,whbcus4,
coracina javensis,javcus1,
coracina larvata,suncus1,
coracina leucopygia,whrcus1,
coracina lineata,yeecus1,
coracina longicauda,hoocus1,
coracina macei,larcus1,
coracina maxima,grocus1,
coracina novaehollandiae,bkfcus1,
coracina papuensis,whbcus1,
coracina personata,walcus1,
coracina schistacea,slacus1,
coracina striata,babcus1,
coracina temminckii,cercus1,
coracina welchmani,melcus3,
coracopsis barklyi,seypar1,
coracopsis nigra,blapar1,
coracopsis sibilans,blapar1,
coracopsis vasa,vaspar1,
coracornis raveni,mabwhi1,
coracornis sanghirensis,sansht1,
coragyps atratus,blkvul,
corapipo altera,whrman1,
corapipo gutturalis,whtman1,
corapipo leucorrhoa,whbman2,
corcorax melanorhamphos,whwcho1,
cormobates leucophaea,whttre3,
cormobates placens,paptre1,
corthylio calendula,ruckin,
corvinella corvina,yebshr1,
corvus albicollis,whnrav1,
corvus albus,piecro1,
corvus bennetti,litcro1,
corvus brachyrhynchos,amecro,
corvus capensis,capcro2,
corvus corax,comrav,
corvus cornix,hoocro1,
corvus corone,carcro1,
corvus coronoides,ausrav1,
corvus crassirostris,thbrav1,
corvus cryptoleucus,chirav,
corvus culminatus,labcro1,
corvus edithae,somcro2,
corvus enca,slbcro1,
corvus florensis,flocro1,
corvus frugilegus,rook1,
corvus fuscicapillus,brhcro1,
corvus hawaiiensis,hawcro,
corvus imparatus,tamcro,
corvus insularis,torcro3,
corvus jamaicensis,jamcro1,
corvus kubaryi,marcro1,
corvus leucognaphalus,whncro1,
corvus levaillantii,labcro1,
corvus macrorhynchos,labcro1,
corvus meeki,boucro1,
corvus mellori,litrav1,
corvus minutus,palcro2,
corvus moneduloides,neccro1,
corvus nasicus,cubcro1,
corvus orru,torcro2,
corvus ossifragus,fiscro,
corvus palmarum,palcro2,
corvus pusillus,hacdro1,
corvus rhipidurus,fatrav1,
corvus ruficollis,brnrav1,
corvus samarensis,slbcro1,
corvus sinaloae,sincro1,
corvus splendens,houcro1,
corvus tasmanicus,forrav1,
corvus torquatus,colcro1,
corvus tristis,grycro1,
