birdnet,comment
Aimophila ruficeps,Rufous-crowned Sparrow
Aix galericulata,Mandarin Duck
Aix sponsa,Wood Duck
Alauda arvensis,Eurasian Skylark
Alauda gulgula,Oriental Skylark
Alaudala rufescens,Mediterranean Short-toed Lark
Alca torda,Razorbill
Alcedo atthis,Common Kingfisher
Alcippe morrisonia,Morrison's Fulvetta
Alcippe poioicephala,Brown-cheeked Fulvetta
Alectoris chukar,Chukar
Alectoris rufa,Red-legged Partridge
Alisterus scapularis,Australian King-Parrot
Allonemobius allardi,Allard's Ground Cricket
Allonemobius tinnulus,Tinkling Ground Cricket
Allonemobius walkeri,Walker's Ground Cricket
Alophoixus ochraceus,Ochraceous Bulbul
Alopochen aegyptiaca,Egyptian Goose
Alouatta pigra,Mexican Black Howler Monkey
Amandava amandava,Red Avadavat
Amaurornis phoenicurus,White-breasted Waterhen
Amazilia rutila,Cinnamon Hummingbird
Amazilia tzacatl,Rufous-tailed Hummingbird
Amazilia yucatanensis,Buff-bellied Hummingbird
Amazona aestiva,Turquoise-fronted Parrot
Amazona albifrons,White-fronted Parrot
Amazona amazonica,Orange-winged Parrot
Amazona auropalliata,Yellow-naped Parrot
Amazona autumnalis,Red-lored Parrot
Amazona farinosa,Mealy Parrot
Amazona finschi,Lilac-crowned Parrot
Amazona mercenarius,Scaly-naped Parrot
Amazona ochrocephala,Yellow-crowned Parrot
Amazona oratrix,Yellow-headed Parrot
Amazona viridigenalis,Red-crowned Parrot
Amblycercus holosericeus,Yellow-billed Cacique
Amblycorypha alexanderi,Clicker Round-winged Katydid
Amblycorypha longinicta,Common Virtuoso Katydid
Amblycorypha oblongifolia,Oblong-winged Katydid
Amblycorypha rotundifolia,Rattler Round-winged Katydid
Amblyramphus holosericeus,Scarlet-headed Blackbird
Ammodramus aurifrons,Yellow-browed Sparrow
Ammodramus humeralis,Grassland Sparrow
Ammodramus savannarum,Grasshopper Sparrow
Ammospiza leconteii,LeConte's Sparrow
Ammospiza maritima,Seaside Sparrow
Ammospiza nelsoni,Nelson's Sparrow
Amphispiza bilineata,Black-throated Sparrow
Anabacerthia striaticollis,Montane Foliage-gleaner
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner
Anairetes parulus,Tufted Tit-Tyrant
Anas acuta,Northern Pintail
Anas crecca,Green-winged Teal
Anas platyrhynchos,Mallard
Anas poecilorhyncha,Indian Spot-billed Duck
Anaxipha exigua,Say's Trig
Anaxyrus americanus,American Toad
Anaxyrus canorus,Yosemite Toad
Anaxyrus cognatus,Great Plains Toad
Anaxyrus fowleri,Fowler's Toad
Anaxyrus houstonensis,Houston Toad
Anaxyrus microscaphus,Arizona Toad
Anaxyrus quercicus,Oak Toad
Anaxyrus speciosus,Texas Toad
Anaxyrus terrestris,Southern Toad
Anaxyrus woodhousii,Woodhouse's Toad
Andigena laminirostris,Plate-billed Mountain-Toucan
Andropadus importunus,Sombre Greenbul
Anhima cornuta,Horned Screamer
Anhinga anhinga,Anhinga
Anisognathus igniventris,Scarlet-bellied Mountain Tanager
Anous minutus,Black Noddy
Anous stolidus,Brown Noddy
Anser albifrons,Greater White-fronted Goose
Anser anser,Graylag Goose
Anser brachyrhynchus,Pink-footed Goose
Anser caerulescens,Snow Goose
Anser fabalis,Taiga Bean-Goose
Anser rossii,Ross's Goose
Anser serrirostris,Tundra Bean-Goose
Anthochaera carunculata,Red Wattlebird
Anthochaera chrysoptera,Little Wattlebird
Anthornis melanura,New Zealand Bellbird
Anthracoceros albirostris,Oriental Pied-Hornbill
Anthreptes malacensis,Brown-throated Sunbird
Anthus campestris,Tawny Pipit
Anthus cervinus,Red-throated Pipit
Anthus cinnamomeus,African Pipit
Anthus correndera,Correndera Pipit
Anthus hodgsoni,Olive-backed Pipit
Anthus lutescens,Yellowish Pipit
Anthus petrosus,Rock Pipit
Anthus pratensis,Meadow Pipit
Anthus richardi,Richard's Pipit
Anthus rubescens,American Pipit
Anthus rufulus,Paddyfield Pipit
Anthus similis,Long-billed Pipit
Anthus spinoletta,Water Pipit
Anthus spragueii,Sprague's Pipit
Anthus trivialis,Tree Pipit
Antigone canadensis,Sandhill Crane
Antilophia galeata,Helmeted Manakin
Antrostomus arizonae,Mexican Whip-poor-will
Antrostomus carolinensis,Chuck-will's-widow
Antrostomus vociferus,Eastern Whip-poor-will
Anumbius annumbi,Firewood-gatherer
Apalis flavida,Yellow-breasted Apalis
Apalis thoracica,Bar-throated Apalis
Aphelocoma californica,California Scrub-Jay
Aphelocoma coerulescens,Florida Scrub-Jay
Aphelocoma wollweberi,Mexican Jay
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
Aphrastura spinicauda,Thorn-tailed Rayadito
Apis mellifera,Honey Bee
Aplonis metallica,Metallic Starling
Aplonis panayensis,Asian Glossy Starling
Apus affinis,Little Swift
Apus apus,Common Swift
Apus melba,Alpine Swift
Apus pallidus,Pallid Swift
Aquila chrysaetos,Golden Eagle
Ara ararauna,Blue-and-yellow Macaw
Ara chloropterus,Red-and-green Macaw
Ara macao,Scarlet Macaw
Ara militaris,Military Macaw
Ara severus,Chestnut-fronted Macaw
Arachnothera longirostra,Little Spiderhunter
Arachnothera magna,Streaked Spiderhunter
Aramides cajaneus,Gray-cowled Wood-Rail
Aramides saracura,Slaty-breasted Wood-Rail
Aramides ypecaha,Giant Wood-Rail
Aramus guarauna,Limpkin
Aratinga nenday,Nanday Parakeet
Aratinga weddellii,Dusky-headed Parakeet
Arborophila torqueola,Hill Partridge
Archilochus alexandri,Black-chinned Hummingbird
Archilochus colubris,Ruby-throated Hummingbird
Ardea alba,Great Egret
Ardea cinerea,Gray Heron
Ardea cocoi,Cocoi Heron
Ardea herodias,Great Blue Heron
Ardea purpurea,Purple Heron
Ardenna grisea,Sooty Shearwater
Ardenna pacifica,Wedge-tailed Shearwater
Ardenna tenuirostris,Short-tailed Shearwater
Arenaria interpres,Ruddy Turnstone
Arenaria melanocephala,Black Turnstone
Argya affinis,Yellow-billed Babbler
Argya caudata,Common Babbler
Argya malcolmi,Large Gray Babbler
Argya striata,Jungle Babbler
Argya subrufa,Rufous Babbler
Arremon assimilis,Gray-browed Brushfinch
Arremon aurantiirostris,Orange-billed Sparrow
Arremon brunneinucha,Chestnut-capped Brushfinch
Arremon flavirostris,Saffron-billed Sparrow
Arremon taciturnus,Pectoral Sparrow
Arremonops chloronotus,Green-backed Sparrow
Arremonops conirostris,Black-striped Sparrow
Arremonops rufivirgatus,Olive Sparrow
Artamus fuscus,Ashy Woodswallow
Artamus leucorynchus,White-breasted Woodswallow
Artemisiospiza belli,Bell's Sparrow
Artemisiospiza nevadensis,Sagebrush Sparrow
Arundinax aedon,Thick-billed Warbler
Asemospiza obscura,Dull-colored Grassquit
Asio clamator,Striped Owl
Asio flammeus,Short-eared Owl
Asio otus,Long-eared Owl
Asthenes modesta,Cordilleran Canastero
Asthenes pyrrholeuca,Sharp-billed Canastero
Atalotriccus pilaris,Pale-eyed Pygmy-Tyrant
Athene brama,Spotted Owlet
Athene cunicularia,Burrowing Owl
Athene noctua,Little Owl
Atlanticus testaceus,Protean Shieldback
Atlapetes albinucha,White-naped Brushfinch
Atlapetes latinuchus,Yellow-breasted Brushfinch
Atlapetes pallidinucha,Pale-naped Brushfinch
Atlapetes pileatus,Rufous-capped Brushfinch
Atlapetes schistaceus,Slaty Brushfinch
Atlapetes tricolor,Tricolored Brushfinch
Attila cinnamomeus,Cinnamon Attila
Attila rufus,Gray-hooded Attila
Attila spadiceus,Bright-rumped Attila
Aulacorhynchus albivitta,Southern Emerald-Toucanet
Aulacorhynchus haematopygus,Crimson-rumped Toucanet
Aulacorhynchus prasinus,Northern Emerald-Toucanet
Auriparus flaviceps,Verdin
Automolus leucophthalmus,White-eyed Foliage-gleaner
Automolus ochrolaemus,Buff-throated Foliage-gleaner
Aythya affinis,Lesser Scaup
Aythya collaris,Ring-necked Duck
Aythya ferina,Common Pochard
Aythya fuligula,Tufted Duck
Aythya marila,Greater Scaup
Aythya valisineria,Canvasback
Baeolophus atricristatus,Black-crested Titmouse
Baeolophus bicolor,Tufted Titmouse
Baeolophus inornatus,Oak Titmouse
Baeolophus ridgwayi,Juniper Titmouse
Baeolophus wollweberi,Bridled Titmouse
Bartramia longicauda,Upland Sandpiper
Baryphthengus martii,Rufous Motmot
Baryphthengus ruficapillus,Rufous-capped Motmot
Basileuterus belli,Golden-browed Warbler
Basileuterus culicivorus,Golden-crowned Warbler
Basileuterus delattrii,Chestnut-capped Warbler
Basileuterus rufifrons,Rufous-capped Warbler
Basileuterus tristriatus,Three-striped Warbler
Basilinna leucotis,White-eared Hummingbird
Batis capensis,Cape Batis
Batis molitor,Chinspot Batis
Blythipicus pyrrhotis,Bay Woodpecker
Bolborhynchus lineola,Barred Parakeet
Bombycilla cedrorum,Cedar Waxwing
Bombycilla garrulus,Bohemian Waxwing
Bonasa umbellus,Ruffed Grouse
Bostrychia hagedash,Hadada Ibis
Botaurus lentiginosus,American Bittern
Botaurus stellaris,Great Bittern
Brachypodius priocephalus,Gray-headed Bulbul
Brachypteryx leucophris,Lesser Shortwing
Brachyramphus marmoratus,Marbled Murrelet
Branta bernicla,Brant
Branta canadensis,Canada Goose
Branta hutchinsii,Cackling Goose
Branta leucopsis,Barnacle Goose
Branta sandvicensis,Hawaiian Goose
Brotogeris chiriri,Yellow-chevroned Parakeet
Brotogeris chrysoptera,Golden-winged Parakeet
Brotogeris cyanoptera,Cobalt-winged Parakeet
Brotogeris jugularis,Orange-chinned Parakeet
Brotogeris tirica,Plain Parakeet
Bubo bubo,Eurasian Eagle-Owl
Bubo virginianus,Great Horned Owl
Bubulcus ibis,Cattle Egret
Bucanetes githagineus,Trumpeter Finch
Bucephala albeola,Bufflehead
Bucephala clangula,Common Goldeneye
Buceros bicornis,Great Hornbill
Buceros rhinoceros,Rhinoceros Hornbill
Bulweria bulwerii,Bulwer's Petrel
Burhinus grallarius,Bush Thick-knee
Burhinus indicus,Indian Thick-knee
Burhinus oedicnemus,Eurasian Thick-knee
Busarellus nigricollis,Black-collared Hawk
Buteo albonotatus,Zone-tailed Hawk
Buteo brachyurus,Short-tailed Hawk
Buteo buteo,Common Buzzard
Buteo jamaicensis,Red-tailed Hawk
Buteo lineatus,Red-shouldered Hawk
Buteo nitidus,Gray-lined Hawk
Buteo plagiatus,Gray Hawk
Buteo platypterus,Broad-winged Hawk
Buteo solitarius,Hawaiian Hawk
Buteo swainsoni,Swainson's Hawk
Buteogallus anthracinus,Common Black Hawk
Buteogallus meridionalis,Savanna Hawk
Buteogallus urubitinga,Great Black Hawk
Butorides striata,Striated Heron
Butorides virescens,Green Heron
Cacatua galerita,Sulphur-crested Cockatoo
Cacatua goffiniana,Tanimbar Corella
Cacatua sanguinea,Little Corella
Cacicus cela,Yellow-rumped Cacique
Cacicus chrysonotus,Mountain Cacique
Cacicus chrysopterus,Golden-winged Cacique
Cacicus haemorrhous,Red-rumped Cacique
Cacicus solitarius,Solitary Black Cacique
Cacicus uropygialis,Scarlet-rumped Cacique
Cacomantis flabelliformis,Fan-tailed Cuckoo
Cacomantis merulinus,Plaintive Cuckoo
Cacomantis pallidus,Pallid Cuckoo
Cacomantis passerinus,Gray-bellied Cuckoo
Cacomantis sonneratii,Banded Bay Cuckoo
Cacomantis variolosus,Brush Cuckoo
Calamospiza melanocorys,Lark Bunting
Calandrella brachydactyla,Greater Short-toed Lark
Calandrella cinerea,Red-capped Lark
Calcarius lapponicus,Lapland Longspur
Calcarius ornatus,Chestnut-collared Longspur
Calcarius pictus,Smith's Longspur
Calendulauda sabota,Sabota Lark
Calidris acuminata,Sharp-tailed Sandpiper
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calidris bairdii,Baird's Sandpiper
Calidris canutus,Red Knot
Calidris ferruginea,Curlew Sandpiper
Calidris fuscicollis,White-rumped Sandpiper
Calidris himantopus,Stilt Sandpiper
Calidris maritima,Purple Sandpiper
Calidris mauri,Western Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris minuta,Little Stint
Calidris minutilla,Least Sandpiper
Calidris pugnax,Ruff
Calidris pusilla,Semipalmated Sandpiper
Calidris subruficollis,Buff-breasted Sandpiper
Calidris temminckii,Temminck's Stint
Caligavis chrysops,Yellow-faced Honeyeater
Calliope calliope,Siberian Rubythroat
Callipepla californica,California Quail
Callipepla gambelii,Gambel's Quail
Callipepla squamata,Scaled Quail
Calocitta colliei,Black-throated Magpie-Jay
Calocitta formosa,White-throated Magpie-Jay
Calonectris diomedea,Cory's Shearwater
Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird
Calyptorhynchus banksii,Red-tailed Black-Cockatoo
Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo
Camaroptera brachyura,Green-backed Camaroptera
Campephilus guatemalensis,Pale-billed Woodpecker
Campephilus melanoleucos,Crimson-crested Woodpecker
Campephilus pollens,Powerful Woodpecker
Campephilus rubricollis,Red-necked Woodpecker
Camptostoma imberbe,Northern Beardless-Tyrannulet
Camptostoma obsoletum,Southern Beardless-Tyrannulet
Campylopterus hemileucurus,Violet Sabrewing
Campylorhamphus trochilirostris,Red-billed Scythebill
Campylorhynchus brunneicapillus,Cactus Wren
Campylorhynchus fasciatus,Fasciated Wren
Campylorhynchus griseus,Bicolored Wren
Campylorhynchus rufinucha,Rufous-naped Wren
Campylorhynchus turdinus,Thrush-like Wren
Campylorhynchus zonatus,Band-backed Wren
Canis latrans,Coyote
Canis lupus,Gray Wolf
Cantorchilus elutus,Isthmian Wren
Cantorchilus leucotis,Buff-breasted Wren
Cantorchilus longirostris,Long-billed Wren
Cantorchilus modestus,Cabanis's Wren
Cantorchilus nigricapillus,Bay Wren
Cantorchilus semibadius,Riverside Wren
Cantorchilus thoracicus,Stripe-breasted Wren
Capito auratus,Gilded Barbet
Caprimulgus affinis,Savanna Nightjar
Caprimulgus asiaticus,Indian Nightjar
Caprimulgus atripennis,Jerdon's Nightjar
Caprimulgus europaeus,Eurasian Nightjar
Caprimulgus macrurus,Large-tailed Nightjar
Caprimulgus ruficollis,Red-necked Nightjar
Capsiempis flaveola,Yellow Tyrannulet
Caracara plancus,Crested Caracara
Cardellina canadensis,Canada Warbler
Cardellina pusilla,Wilson's Warbler
Cardellina rubra,Red Warbler
Cardellina rubrifrons,Red-faced Warbler
Cardinalis cardinalis,Northern Cardinal
Cardinalis sinuatus,Pyrrhuloxia
Carduelis carduelis,European Goldfinch
Carduelis citrinella,Citril Finch
Cariama cristata,Red-legged Seriema
Carpodacus erythrinus,Common Rosefinch
Caryothraustes poliogaster,Black-faced Grosbeak
Cassiculus melanicterus,Yellow-winged Cacique
Catharus aurantiirostris,Orange-billed Nightingale-Thrush
Catharus bicknelli,Bicknell's Thrush
Catharus frantzii,Ruddy-capped Nightingale-Thrush
Catharus fuscater,Slaty-backed Nightingale-Thrush
Catharus fuscescens,Veery
Catharus gracilirostris,Black-billed Nightingale-Thrush
Catharus guttatus,Hermit Thrush
Catharus mexicanus,Black-headed Nightingale-Thrush
Catharus minimus,Gray-cheeked Thrush
Catharus ustulatus,Swainson's Thrush
Catherpes mexicanus,Canyon Wren
Cecropis abyssinica,Lesser Striped Swallow
Cecropis daurica,Red-rumped Swallow
Celeus elegans,Chestnut Woodpecker
Celeus flavescens,Blond-crested Woodpecker
Celeus flavus,Cream-colored Woodpecker
Centrocercus urophasianus,Greater Sage-Grouse
Centronyx bairdii,Baird's Sparrow
Centronyx henslowii,Henslow's Sparrow
Centropus bengalensis,Lesser Coucal
Centropus sinensis,Greater Coucal
Centropus superciliosus,White-browed Coucal
Centropus viridis,Philippine Coucal
Ceratopipra erythrocephala,Golden-headed Manakin
Ceratopipra mentalis,Red-capped Manakin
Cercomacra cinerascens,Gray Antbird
Cercomacra nigricans,Jet Antbird
Cercomacroides tyrannina,Dusky Antbird
Cercotrichas galactotes,Rufous-tailed Scrub-Robin
Cercotrichas leucophrys,Red-backed Scrub-Robin
Certhia americana,Brown Creeper
Certhia brachydactyla,Short-toed Treecreeper
Certhia familiaris,Eurasian Treecreeper
Certhiaxis cinnamomeus,Yellow-chinned Spinetail
Ceryle rudis,Pied Kingfisher
Cettia cetti,Cetti's Warbler
Chaetura cinereiventris,Gray-rumped Swift
Chaetura meridionalis,Sick's Swift
Chaetura pelagica,Chimney Swift
Chaetura vauxi,Vaux's Swift
Chalcomitra senegalensis,Scarlet-chested Sunbird
Chalcophaps indica,Asian Emerald Dove
Chamaea fasciata,Wrentit
Chamaeza campanisona,Short-tailed Antthrush
Charadrius alexandrinus,Kentish Plover
Charadrius dubius,Little Ringed Plover
Charadrius hiaticula,Common Ringed Plover
Charadrius melodus,Piping Plover
Charadrius nivosus,Snowy Plover
Charadrius semipalmatus,Semipalmated Plover
Charadrius vociferus,Killdeer
Charadrius wilsonia,Wilson's Plover
Chasiempis sandwichensis,Hawaii Elepaio
Chauna torquata,Southern Screamer
Chiroxiphia caudata,Swallow-tailed Manakin
Chiroxiphia lanceolata,Lance-tailed Manakin
Chiroxiphia linearis,Long-tailed Manakin
Chiroxiphia pareola,Blue-backed Manakin
Chlidonias hybrida,Whiskered Tern
Chlidonias leucopterus,White-winged Tern
Chlidonias niger,Black Tern
Chlorestes cyanus,White-chinned Sapphire
Chloris chloris,European Greenfinch
Chloris sinica,Oriental Greenfinch
Chloroceryle amazona,Amazon Kingfisher
Chloroceryle americana,Green Kingfisher
Chlorodrepanis virens,Hawaii Amakihi
Chlorophanes spiza,Green Honeycreeper
Chlorophonia cyanea,Blue-naped Chlorophonia
Chlorophonia cyanocephala,Golden-rumped Euphonia
Chlorophonia elegantissima,Elegant Euphonia
Chloropicus fuscescens,Cardinal Woodpecker
Chloropsis aurifrons,Golden-fronted Leafbird
Chloropsis cochinchinensis,Blue-winged Leafbird
Chloropsis hardwickii,Orange-bellied Leafbird
Chloropsis jerdoni,Jerdon's Leafbird
Chlorornis riefferii,Grass-green Tanager
Chlorospingus flavigularis,Yellow-throated Chlorospingus
Chlorospingus flavopectus,Common Chlorospingus
Chlorospingus pileatus,Sooty-capped Chlorospingus
Chlorospingus semifuscus,Dusky Chlorospingus
Chlorostilbon lucidus,Glittering-bellied Emerald
Chlorothraupis carmioli,Carmiol's Tanager
Chlorothraupis stolzmanni,Ochre-breasted Tanager
Chondestes grammacus,Lark Sparrow
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles gundlachii,Antillean Nighthawk
Chordeiles minor,Common Nighthawk
Chroicocephalus genei,Slender-billed Gull
Chroicocephalus maculipennis,Brown-hooded Gull
Chroicocephalus novaehollandiae,Silver Gull
Chroicocephalus philadelphia,Bonaparte's Gull
Chroicocephalus ridibundus,Black-headed Gull
Chroicocephalus serranus,Andean Gull
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo
Chrysococcyx caprius,Dideric Cuckoo
Chrysococcyx cupreus,African Emerald Cuckoo
Chrysococcyx klaas,Klaas's Cuckoo
Chrysococcyx lucidus,Shining Bronze-Cuckoo
Chrysococcyx minutillus,Little Bronze-Cuckoo
Chrysocolaptes guttacristatus,Greater Flameback
Chrysolophus pictus,Golden Pheasant
Chrysomma sinense,Yellow-eyed Babbler
Chrysomus icterocephalus,Yellow-hooded Blackbird
Chrysomus ruficapillus,Chestnut-capped Blackbird
Chrysuronia oenone,Golden-tailed Sapphire
Ciccaba nigrolineata,Black-and-white Owl
Ciccaba virgata,Mottled Owl
Cichladusa guttata,Spotted Morning-Thrush
Ciconia ciconia,White Stork
Cinclodes fuscus,Buff-winged Cinclodes
Cincloramphus mathewsi,Rufous Songlark
Cincloramphus timoriensis,Tawny Grassbird
Cinclus cinclus,White-throated Dipper
Cinclus mexicanus,American Dipper
Cinnycerthia olivascens,Sharpe's Wren
Cinnycerthia unirufa,Rufous Wren
Cinnyris asiaticus,Purple Sunbird
Cinnyris chalybeus,Southern Double-collared Sunbird
Cinnyris jugularis,Olive-backed Sunbird
Cinnyris lotenius,Loten's Sunbird
Cinnyris talatala,White-breasted Sunbird
Cinnyris venustus,Variable Sunbird
Circaetus gallicus,Short-toed Snake-Eagle
Circus aeruginosus,Eurasian Marsh-Harrier
Circus hudsonius,Northern Harrier
Circus pygargus,Montagu's Harrier
Cissa chinensis,Common Green-Magpie
Cissopis leverianus,Magpie Tanager
Cisticola cantans,Singing Cisticola
Cisticola chiniana,Rattling Cisticola
Cisticola erythrops,Red-faced Cisticola
Cisticola exilis,Golden-headed Cisticola
Cisticola juncidis,Zitting Cisticola
Cisticola tinniens,Levaillant's Cisticola
Cistothorus palustris,Marsh Wren
Cistothorus platensis,Grass Wren
Cistothorus stellaris,Sedge Wren
Clamator glandarius,Great Spotted Cuckoo
Clamator jacobinus,Pied Cuckoo
Clangula hyemalis,Long-tailed Duck
Claravis pretiosa,Blue Ground Dove
Clibanornis rubiginosus,Ruddy Foliage-gleaner
Cnemotriccus fuscatus,Fuscous Flycatcher
Coccothraustes coccothraustes,Hawfinch
Coccothraustes vespertinus,Evening Grosbeak
Coccycua minuta,Little Cuckoo
Coccyzus americanus,Yellow-billed Cuckoo
Coccyzus erythropthalmus,Black-billed Cuckoo
Coccyzus melacoryphus,Dark-billed Cuckoo
Coccyzus minor,Mangrove Cuckoo
Cochlearius cochlearius,Boat-billed Heron
Coereba flaveola,Bananaquit
Colaptes auratus,Northern Flicker
Colaptes campestris,Campo Flicker
Colaptes chrysoides,Gilded Flicker
Colaptes melanochloros,Green-barred Woodpecker
Colaptes punctigula,Spot-breasted Woodpecker
Colaptes rivolii,Crimson-mantled Woodpecker
Colaptes rubiginosus,Golden-olive Woodpecker
Colaptes rupicola,Andean Flicker
Colibri coruscans,Sparkling Violetear
Colibri cyanotus,Lesser Violetear
Colibri delphinae,Brown Violetear
Colibri thalassinus,Mexican Violetear
Colinus cristatus,Crested Bobwhite
Colinus virginianus,Northern Bobwhite
Colius striatus,Speckled Mousebird
Colluricincla harmonica,Gray Shrikethrush
Colonia colonus,Long-tailed Tyrant
Colorhamphus parvirostris,Patagonian Tyrant
Columba livia,Rock Pigeon
Columba oenas,Stock Dove
Columba palumbus,Common Wood-Pigeon
Columbina inca,Inca Dove
Columbina minuta,Plain-breasted Ground Dove
Columbina passerina,Common Ground Dove
Columbina picui,Picui Ground Dove
Columbina squammata,Scaled Dove
Columbina talpacoti,Ruddy Ground Dove
Conirostrum speciosum,Chestnut-vented Conebill
Conocephalus brevipennis,Short-winged Meadow Katydid
Conocephalus fasciatus,Slender Meadow Katydid
Conopophaga lineata,Rufous Gnateater
Contopus cinereus,Tropical Pewee
Contopus cooperi,Olive-sided Flycatcher
Contopus fumigatus,Smoke-colored Pewee
Contopus pertinax,Greater Pewee
Contopus sordidulus,Western Wood-Pewee
Contopus virens,Eastern Wood-Pewee
Copsychus fulicatus,Indian Robin
Copsychus malabaricus,White-rumped Shama
Copsychus saularis,Oriental Magpie-Robin
Coracias benghalensis,Indian Roller
Coracias garrulus,European Roller
Coracina macei,Large Cuckooshrike
Coracina novaehollandiae,Black-faced Cuckooshrike
Coragyps atratus,Black Vulture
Corcorax melanorhamphos,White-winged Chough
Cormobates leucophaea,White-throated Treecreeper
Corthylio calendula,Ruby-crowned Kinglet
Corvus albus,Pied Crow
Corvus brachyrhynchos,American Crow
Corvus corax,Common Raven
Corvus cornix,Hooded Crow
Corvus corone,Carrion Crow
Corvus coronoides,Australian Raven
Corvus cryptoleucus,Chihuahuan Raven
Corvus enca,Slender-billed Crow
Corvus frugilegus,Rook
Corvus hawaiiensis,Hawaiian Crow
Corvus macrorhynchos,Large-billed Crow
Corvus mellori,Little Raven
Corvus monedula,Eurasian Jackdaw
Corvus orru,Torresian Crow
Corvus ossifragus,Fish Crow
Corvus splendens,House Crow
Coryphospingus cucullatus,Red-crested Finch
Coryphospingus pileatus,Pileated Finch
Corythopis delalandi,Southern Antpipit
Cossypha caffra,Cape Robin-Chat
Cossypha heuglini,White-browed Robin-Chat
Cossypha natalensis,Red-capped Robin-Chat
Coturnicops noveboracensis,Yellow Rail
Coturnix coturnix,Common Quail
Coturnix japonica,Japanese Quail
Cracticus nigrogularis,Pied Butcherbird
Cracticus quoyi,Black Butcherbird
Cracticus torquatus,Gray Butcherbird
Cranioleuca erythrops,Red-faced Spinetail
Cranioleuca pallida,Pallid Spinetail
Cranioleuca pyrrhophia,Stripe-crowned Spinetail
Crax fasciolata,Bare-faced Curassow
Crex crex,Corn Crake
Crithagra mozambica,Yellow-fronted Canary
Crotophaga ani,Smooth-billed Ani
Crotophaga major,Greater Ani
Crotophaga sulcirostris,Groove-billed Ani
Crypturellus boucardi,Slaty-breasted Tinamou
Crypturellus cinereus,Cinereous Tinamou
Crypturellus cinnamomeus,Thicket Tinamou
Crypturellus obsoletus,Brown Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Crypturellus soui,Little Tinamou
Crypturellus tataupa,Tataupa Tinamou
Crypturellus undulatus,Undulated Tinamou
Crypturellus variegatus,Variegated Tinamou
Cuculus canorus,Common Cuckoo
Cuculus clamosus,Black Cuckoo
Cuculus micropterus,Indian Cuckoo
Cuculus optatus,Oriental Cuckoo
Cuculus solitarius,Red-chested Cuckoo
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher
