ioc_12_2,comment
anas poecilorhyncha,Indian Spot-billed Duck
anas zonorhyncha,Eastern Spot-billed Duck
anas platyrhynchos,Mallard
anas fulvigula,Mottled Duck
anas rubripes,American Black Duck
anas diazi,Mexican Duck
anas capensis,Cape Teal
anas bahamensis,White-cheeked Pintail
anas erythrorhyncha,Red-billed Teal
anas georgica,Yellow-billed Pintail
anas eatoni,Eaton's Pintail
anas acuta,Northern Pintail
anas crecca,Eurasian Teal
anas carolinensis,Green-winged Teal
anas flavirostris,Yellow-billed Teal
anas andium,Andean Teal
anas gibberifrons,Sunda Teal
anas albogularis,Andaman Teal
anas theodori,Mascarene Teal
anas gracilis,Grey Teal
anas castanea,Chestnut Teal
anas bernieri,Bernier's Teal
anas chlorotis,Brown Teal
anas aucklandica,Auckland Teal
anas nesiotis,Campbell Teal
marmaronetta angustirostris,Marbled Duck
rhodonessa caryophyllacea,Pink-headed Duck
netta rufina,Red-crested Pochard
netta peposaca,Rosy-billed Pochard
netta erythrophthalma,Southern Pochard
aythya valisineria,Canvasback
aythya americana,Redhead
aythya ferina,Common Pochard
aythya australis,Hardhead
aythya innotata,Madagascar Pochard
aythya baeri,Baer's Pochard
aythya nyroca,Ferruginous Duck
aythya novaeseelandiae,New Zealand Scaup
aythya collaris,Ring-necked Duck
aythya fuligula,Tufted Duck
aythya marila,Greater Scaup
aythya affinis,Lesser Scaup
polysticta stelleri,Steller's Eider
somateria fischeri,Spectacled Eider
somateria spectabilis,King Eider
somateria mollissima,Common Eider
histrionicus histrionicus,Harlequin Duck
camptorhynchus labradorius,Labrador Duck
melanitta perspicillata,Surf Scoter
melanitta fusca,Velvet Scoter
melanitta deglandi,White-winged Scoter
melanitta stejnegeri,Stejneger's Scoter
melanitta nigra,Common Scoter
melanitta americana,Black Scoter
clangula hyemalis,Long-tailed Duck
bucephala albeola,Bufflehead
bucephala clangula,Common Goldeneye
bucephala islandica,Barrow's Goldeneye
mergellus albellus,Smew
lophodytes cucullatus,Hooded Merganser
mergus australis,New Zealand Merganser
mergus octosetaceus,Brazilian Merganser
mergus merganser,Common Merganser
mergus serrator,Red-breasted Merganser
mergus squamatus,Scaly-sided Merganser
heteronetta atricapilla,Black-headed Duck
nomonyx dominicus,Masked Duck
oxyura jamaicensis,Ruddy Duck
oxyura ferruginea,Andean Duck
oxyura vittata,Lake Duck
oxyura australis,Blue-billed Duck
oxyura maccoa,Maccoa Duck
oxyura leucocephala,White-headed Duck
biziura lobata,Musk Duck
alectura lathami,Australian Brushturkey
aepypodius arfakianus,Wattled Brushturkey
aepypodius bruijnii,Waigeo Brushturkey
talegalla cuvieri,Red-billed Brushturkey
talegalla fuscirostris,Black-billed Brushturkey
talegalla jobiensis,Collared Brushturkey
leipoa ocellata,Malleefowl
macrocephalon maleo,Maleo
eulipoa wallacei,Moluccan Megapode
megapodius pritchardii,Tongan Megapode
megapodius laperouse,Micronesian Megapode
megapodius nicobariensis,Nicobar Megapode
megapodius cumingii,Philippine Megapode
megapodius bernsteinii,Sula Megapode
megapodius tenimberensis,Tanimbar Megapode
megapodius freycinet,Dusky Megapode
megapodius geelvinkianus,Biak Scrubfowl
megapodius eremita,Melanesian Megapode
megapodius layardi,Vanuatu Megapode
megapodius decollatus,New Guinea Scrubfowl
megapodius reinwardt,Orange-footed Scrubfowl
ortalis vetula,Plain Chachalaca
ortalis cinereiceps,Grey-headed Chachalaca
ortalis garrula,Chestnut-winged Chachalaca
ortalis ruficauda,Rufous-vented Chachalaca
ortalis erythroptera,Rufous-headed Chachalaca
ortalis wagleri,Rufous-bellied Chachalaca
ortalis poliocephala,West Mexican Chachalaca
ortalis canicollis,Chaco Chachalaca
ortalis leucogastra,White-bellied Chachalaca
ortalis guttata,Speckled Chachalaca
ortalis araucuan,East Brazilian Chachalaca
ortalis squamata,Scaled Chachalaca
ortalis columbiana,Colombian Chachalaca
ortalis motmot,Little Chachalaca
ortalis ruficeps,Chestnut-headed Chachalaca
ortalis superciliaris,Buff-browed Chachalaca
penelope argyrotis,Band-tailed Guan
penelope barbata,Bearded Guan
penelope ortoni,Baudo Guan
penelope montagnii,Andean Guan
penelope marail,Marail Guan
penelope superciliaris,Rusty-margined Guan
penelope dabbenei,Red-faced Guan
penelope purpurascens,Crested Guan
penelope perspicax,Cauca Guan
penelope albipennis,White-winged Guan
penelope jacquacu,Spix's Guan
penelope obscura,Dusky-legged Guan
penelope bridgesi,Yungas Guan
penelope pileata,White-crested Guan
penelope ochrogaster,Chestnut-bellied Guan
penelope jacucaca,White-browed Guan
pipile pipile,Trinidad Piping Guan
pipile cumanensis,Blue-throated Piping Guan
pipile cujubi,Red-throated Piping Guan
pipile jacutinga,Black-fronted Piping Guan
aburria aburri,Wattled Guan
chamaepetes unicolor,Black Guan
chamaepetes goudotii,Sickle-winged Guan
penelopina nigra,Highland Guan
oreophasis derbianus,Horned Guan
nothocrax urumutum,Nocturnal Curassow
mitu tomentosum,Crestless Curassow
mitu salvini,Salvin's Curassow
mitu tuberosum,Razor-billed Curassow
mitu mitu,Alagoas Curassow
pauxi pauxi,Helmeted Curassow
pauxi unicornis,Horned Curassow
pauxi koepckeae,Sira Curassow
crax rubra,Great Curassow
crax alberti,Blue-billed Curassow
crax daubentoni,Yellow-knobbed Curassow
crax alector,Black Curassow
crax globulosa,Wattled Curassow
crax fasciolata,Bare-faced Curassow
crax blumenbachii,Red-billed Curassow
agelastes meleagrides,White-breasted Guineafowl
agelastes niger,Black Guineafowl
numida meleagris,Helmeted Guineafowl
guttera plumifera,Plumed Guineafowl
guttera pucherani,Crested Guineafowl
acryllium vulturinum,Vulturine Guineafowl
ptilopachus petrosus,Stone Partridge
ptilopachus nahani,Nahan's Partridge
dendrortyx leucophrys,Buffy-crowned Wood Partridge
dendrortyx macroura,Long-tailed Wood Partridge
dendrortyx barbatus,Bearded Wood Partridge
oreortyx pictus,Mountain Quail
callipepla squamata,Scaled Quail
callipepla douglasii,Elegant Quail
callipepla californica,California Quail
callipepla gambelii,Gambel's Quail
philortyx fasciatus,Banded Quail
colinus virginianus,Northern Bobwhite
colinus nigrogularis,Yucatan Bobwhite
colinus leucopogon,Spot-bellied Bobwhite
colinus cristatus,Crested Bobwhite
odontophorus gujanensis,Marbled Wood Quail
odontophorus capueira,Spot-winged Wood Quail
odontophorus melanotis,Black-eared Wood Quail
odontophorus erythrops,Rufous-fronted Wood Quail
odontophorus atrifrons,Black-fronted Wood Quail
odontophorus hyperythrus,Chestnut Wood Quail
odontophorus melanonotus,Dark-backed Wood Quail
odontophorus speciosus,Rufous-breasted Wood Quail
odontophorus dialeucos,Tacarcuna Wood Quail
odontophorus strophium,Gorgeted Wood Quail
odontophorus columbianus,Venezuelan Wood Quail
odontophorus leucolaemus,Black-breasted Wood Quail
odontophorus balliviani,Stripe-faced Wood Quail
odontophorus stellatus,Starred Wood Quail
odontophorus guttatus,Spotted Wood Quail
dactylortyx thoracicus,Singing Quail
cyrtonyx montezumae,Montezuma Quail
cyrtonyx ocellatus,Ocellated Quail
rhynchortyx cinctus,Tawny-faced Quail
xenoperdix udzungwensis,Udzungwa Forest Partridge
xenoperdix obscuratus,Rubeho Forest Partridge
caloperdix oculeus,Ferruginous Partridge
rollulus rouloul,Crested Partridge
melanoperdix niger,Black Partridge
arborophila torqueola,Hill Partridge
arborophila rufipectus,Sichuan Partridge
arborophila mandellii,Chestnut-breasted Partridge
arborophila gingica,White-necklaced Partridge
arborophila rufogularis,Rufous-throated Partridge
arborophila rubrirostris,Red-billed Partridge
arborophila diversa,Siamese Partridge
arborophila cambodiana,Chestnut-headed Partridge
arborophila ardens,Hainan Partridge
arborophila crudigularis,Taiwan Partridge
arborophila atrogularis,White-cheeked Partridge
arborophila brunneopectus,Bar-backed Partridge
arborophila davidi,Orange-necked Partridge
arborophila hyperythra,Red-breasted Partridge
arborophila campbelli,Malayan Partridge
arborophila rolli,Roll's Partridge
arborophila sumatrana,Sumatran Partridge
arborophila javanica,Chestnut-bellied Partridge
arborophila orientalis,Grey-breasted Partridge
lerwa lerwa,Snow Partridge
ithaginis cruentus,Blood Pheasant
tragopan melanocephalus,Western Tragopan
tragopan satyra,Satyr Tragopan
tragopan blythii,Blyth's Tragopan
tragopan temminckii,Temminck's Tragopan
tragopan caboti,Cabot's Tragopan
tetraophasis obscurus,Verreaux's Monal-Partridge
tetraophasis szechenyii,Szechenyi's Monal-Partridge
lophophorus impejanus,Himalayan Monal
lophophorus sclateri,Sclater's Monal
lophophorus lhuysii,Chinese Monal
pucrasia macrolopha,Koklass Pheasant
meleagris gallopavo,Wild Turkey
meleagris ocellata,Ocellated Turkey
bonasa umbellus,Ruffed Grouse
tetrastes bonasia,Hazel Grouse
tetrastes sewerzowi,Chinese Grouse
centrocercus urophasianus,Sage Grouse
centrocercus minimus,Gunnison Grouse
dendragapus obscurus,Dusky Grouse
dendragapus fuliginosus,Sooty Grouse
tympanuchus phasianellus,Sharp-tailed Grouse
tympanuchus cupido,Greater Prairie Chicken
tympanuchus pallidicinctus,Lesser Prairie Chicken
lagopus leucura,White-tailed Ptarmigan
lagopus lagopus,Willow Ptarmigan
lagopus muta,Rock Ptarmigan
falcipennis falcipennis,Siberian Grouse
canachites canadensis,Spruce Grouse
tetrao urogallus,Western Capercaillie
tetrao urogalloides,Black-billed Capercaillie
lyrurus tetrix,Black Grouse
lyrurus mlokosiewiczi,Caucasian Grouse
rhizothera longirostris,Long-billed Partridge
rhizothera dulitensis,Dulit Partridge
perdix hodgsoniae,Tibetan Partridge
perdix perdix,Grey Partridge
perdix dauurica,Daurian Partridge
syrmaticus soemmerringii,Copper Pheasant
syrmaticus reevesii,Reeves's Pheasant
syrmaticus mikado,Mikado Pheasant
syrmaticus ellioti,Elliot's Pheasant
syrmaticus humiae,Mrs. Hume's Pheasant
chrysolophus pictus,Golden Pheasant
chrysolophus amherstiae,Lady Amherst's Pheasant
phasianus colchicus,Common Pheasant
phasianus versicolor,Green Pheasant
catreus wallichii,Cheer Pheasant
crossoptilon harmani,Tibetan Eared Pheasant
crossoptilon crossoptilon,White Eared Pheasant
crossoptilon mantchuricum,Brown Eared Pheasant
crossoptilon auritum,Blue Eared Pheasant
lophura edwardsi,Edwards's Pheasant
lophura swinhoii,Swinhoe's Pheasant
lophura bulweri,Bulwer's Pheasant
lophura leucomelanos,Kalij Pheasant
lophura nycthemera,Silver Pheasant
lophura erythrophthalma,Crestless Fireback
lophura diardi,Siamese Fireback
lophura inornata,Salvadori's Pheasant
lophura ignita,Crested Fireback
rheinardia ocellata,Vietnamese Crested Argus
rheinardia nigrescens,Malayan Crested Argus
argusianus argus,Great Argus
afropavo congensis,Congo Peafowl
pavo cristatus,Indian Peafowl
pavo muticus,Green Peafowl
tropicoperdix chloropus,Green-legged Partridge
tropicoperdix charltonii,Chestnut-necklaced Partridge
haematortyx sanguiniceps,Crimson-headed Partridge
galloperdix spadicea,Red Spurfowl
galloperdix lunulata,Painted Spurfowl
galloperdix bicalcarata,Sri Lanka Spurfowl
polyplectron napoleonis,Palawan Peacock-Pheasant
polyplectron schleiermacheri,Bornean Peacock-Pheasant
polyplectron malacense,Malayan Peacock-Pheasant
polyplectron germaini,Germain's Peacock-Pheasant
polyplectron katsumatae,Hainan Peacock-Pheasant
polyplectron bicalcaratum,Grey Peacock-Pheasant
polyplectron inopinatum,Mountain Peacock-Pheasant
polyplectron chalcurum,Bronze-tailed Peacock-Pheasant
bambusicola fytchii,Mountain Bamboo Partridge
bambusicola thoracicus,Chinese Bamboo Partridge
bambusicola sonorivox,Taiwan Bamboo Partridge
gallus varius,Green Junglefowl
gallus gallus,Red Junglefowl
gallus sonneratii,Grey Junglefowl
gallus lafayettii,Sri Lanka Junglefowl
peliperdix lathami,Latham's Francolin
ortygornis sephaena,Crested Francolin
ortygornis pondicerianus,Grey Francolin
ortygornis gularis,Swamp Francolin
francolinus pintadeanus,Chinese Francolin
francolinus francolinus,Black Francolin
francolinus pictus,Painted Francolin
campocolinus coqui,Coqui Francolin
campocolinus albogularis,White-throated Francolin
campocolinus schlegelii,Schlegel's Francolin
scleroptila streptophora,Ring-necked Francolin
scleroptila levaillantii,Red-winged Francolin
scleroptila finschi,Finsch's Francolin
scleroptila psilolaema,Moorland Francolin
scleroptila elgonensis,Elgon Francolin
scleroptila afra,Grey-winged Francolin
scleroptila gutturalis,Orange River Francolin
scleroptila shelleyi,Shelley's Francolin
tetraogallus tibetanus,Tibetan Snowcock
tetraogallus altaicus,Altai Snowcock
tetraogallus caucasicus,Caucasian Snowcock
tetraogallus caspius,Caspian Snowcock
tetraogallus himalayensis,Himalayan Snowcock
ammoperdix griseogularis,See-see Partridge
ammoperdix heyi,Sand Partridge
synoicus ypsilophorus,Brown Quail
synoicus monorthonyx,Snow Mountain Quail
synoicus chinensis,King Quail
synoicus adansonii,Blue Quail
margaroperdix madagarensis,Madagascar Partridge
coturnix coturnix,Common Quail
coturnix japonica,Japanese Quail
coturnix delegorguei,Harlequin Quail
coturnix coromandelica,Rain Quail
coturnix pectoralis,Stubble Quail
coturnix novaezelandiae,New Zealand Quail
alectoris barbara,Barbary Partridge
alectoris melanocephala,Arabian Partridge
alectoris rufa,Red-legged Partridge
alectoris chukar,Chukar Partridge
alectoris graeca,Rock Partridge
alectoris philbyi,Philby's Partridge
alectoris magna,Przevalski's Partridge
perdicula asiatica,Jungle Bush Quail
perdicula argoondah,Rock Bush Quail
perdicula erythrorhyncha,Painted Bush Quail
perdicula manipurensis,Manipur Bush Quail
ophrysia superciliosa,Himalayan Quail
pternistis hartlaubi,Hartlaub's Spurfowl
pternistis camerunensis,Mount Cameroon Spurfowl
pternistis nobilis,Handsome Spurfowl
pternistis castaneicollis,Chestnut-naped Spurfowl
pternistis atrifrons,Black-fronted Spurfowl
pternistis erckelii,Erckel's Spurfowl
pternistis ochropectus,Djibouti Spurfowl
pternistis swierstrai,Swierstra's Spurfowl
pternistis ahantensis,Ahanta Spurfowl
pternistis griseostriatus,Grey-striped Spurfowl
pternistis jacksoni,Jackson's Spurfowl
pternistis adspersus,Red-billed Spurfowl
pternistis capensis,Cape Spurfowl
pternistis natalensis,Natal Spurfowl
pternistis hildebrandti,Hildebrandt's Spurfowl
pternistis bicalcaratus,Double-spurred Spurfowl
pternistis squamatus,Scaly Spurfowl
pternistis icterorhynchus,Heuglin's Spurfowl
pternistis clappertoni,Clapperton's Spurfowl
pternistis harwoodi,Harwood's Spurfowl
pternistis swainsonii,Swainson's Spurfowl
pternistis leucoscepus,Yellow-necked Spurfowl
pternistis rufopictus,Grey-breasted Spurfowl
pternistis afer,Red-necked Spurfowl
eurostopodus argus,Spotted Nightjar
eurostopodus mystacalis,White-throated Nightjar
eurostopodus nigripennis,Solomons Nightjar
eurostopodus exul,New Caledonian Nightjar
eurostopodus diabolicus,Satanic Nightjar
eurostopodus papuensis,Papuan Nightjar
eurostopodus archboldi,Archbold's Nightjar
lyncornis temminckii,Malaysian Eared Nightjar
lyncornis macrotis,Great Eared Nightjar
gactornis enarratus,Collared Nightjar
chordeiles nacunda,Nacunda Nighthawk
chordeiles pusillus,Least Nighthawk
chordeiles rupestris,Sand-colored Nighthawk
chordeiles acutipennis,Lesser Nighthawk
chordeiles minor,Common Nighthawk
chordeiles gundlachii,Antillean Nighthawk
lurocalis semitorquatus,Short-tailed Nighthawk
lurocalis rufiventris,Rufous-bellied Nighthawk
nyctiprogne leucopyga,Band-tailed Nighthawk
nyctiprogne vielliardi,Plain-tailed Nighthawk
nyctipolus nigrescens,Blackish Nightjar
nyctipolus hirundinaceus,Pygmy Nightjar
nyctidromus albicollis,Pauraque
nyctidromus anthonyi,Anthony's Nightjar
setopagis heterura,Todd's Nightjar
setopagis parvula,Little Nightjar
setopagis whitelyi,Roraiman Nightjar
setopagis maculosa,Cayenne Nightjar
eleothreptus anomalus,Sickle-winged Nightjar
eleothreptus candicans,White-winged Nightjar
systellura longirostris,Band-winged Nightjar
systellura decussata,Tschudi's Nightjar
uropsalis segmentata,Swallow-tailed Nightjar
uropsalis lyra,Lyre-tailed Nightjar
hydropsalis cayennensis,White-tailed Nightjar
hydropsalis maculicaudus,Spot-tailed Nightjar
hydropsalis climacocerca,Ladder-tailed Nightjar
hydropsalis torquata,Scissor-tailed Nightjar
macropsalis forcipata,Long-trained Nightjar
siphonorhis brewsteri,Least Poorwill
siphonorhis americana,Jamaican Poorwill
nyctiphrynus rosenbergi,Choco Poorwill
nyctiphrynus mcleodii,Eared Poorwill
nyctiphrynus yucatanicus,Yucatan Poorwill
nyctiphrynus ocellatus,Ocellated Poorwill
phalaenoptilus nuttallii,Common Poorwill
antrostomus carolinensis,Chuck-will's-widow
antrostomus rufus,Rufous Nightjar
antrostomus cubanensis,Cuban Nightjar
antrostomus ekmani,Hispaniolan Nightjar
antrostomus salvini,Tawny-collared Nightjar
antrostomus badius,Yucatan Nightjar
antrostomus sericocaudatus,Silky-tailed Nightjar
antrostomus ridgwayi,Buff-collared Nightjar
antrostomus vociferus,Eastern Whip-poor-will
antrostomus arizonae,Mexican Whip-poor-will
antrostomus noctitherus,Puerto Rican Nightjar
antrostomus saturatus,Dusky Nightjar
veles binotatus,Brown Nightjar
caprimulgus ruficollis,Red-necked Nightjar
caprimulgus indicus,Jungle Nightjar
caprimulgus jotaka,Grey Nightjar
caprimulgus phalaena,Palau Nightjar
caprimulgus europaeus,European Nightjar
caprimulgus fraenatus,Sombre Nightjar
caprimulgus rufigena,Rufous-cheeked Nightjar
caprimulgus aegyptius,Egyptian Nightjar
caprimulgus mahrattensis,Sykes's Nightjar
caprimulgus nubicus,Nubian Nightjar
caprimulgus eximius,Golden Nightjar
caprimulgus atripennis,Jerdon's Nightjar
caprimulgus macrurus,Large-tailed Nightjar
caprimulgus meesi,Mees's Nightjar
caprimulgus andamanicus,Andaman Nightjar
caprimulgus manillensis,Philippine Nightjar
caprimulgus celebensis,Sulawesi Nightjar
caprimulgus donaldsoni,Donaldson Smith's Nightjar
caprimulgus nigriscapularis,Black-shouldered Nightjar
caprimulgus pectoralis,Fiery-necked Nightjar
caprimulgus poliocephalus,Montane Nightjar
caprimulgus asiaticus,Indian Nightjar
caprimulgus madagascariensis,Madagascar Nightjar
caprimulgus natalensis,Swamp Nightjar
caprimulgus solala,Nechisar Nightjar
caprimulgus inornatus,Plain Nightjar
caprimulgus stellatus,Star-spotted Nightjar
caprimulgus affinis,Savanna Nightjar
caprimulgus tristigma,Freckled Nightjar
caprimulgus concretus,Bonaparte's Nightjar
caprimulgus pulchellus,Salvadori's Nightjar
caprimulgus prigoginei,Prigogine's Nightjar
caprimulgus batesi,Bates's Nightjar
caprimulgus climacurus,Long-tailed Nightjar
caprimulgus clarus,Slender-tailed Nightjar
caprimulgus fossii,Square-tailed Nightjar
caprimulgus longipennis,Standard-winged Nightjar
caprimulgus vexillarius,Pennant-winged Nightjar
steatornis caripensis,Oilbird
phyllaemulor bracteatus,Rufous Potoo
nyctibius grandis,Great Potoo
nyctibius aethereus,Long-tailed Potoo
nyctibius jamaicensis,Northern Potoo
nyctibius griseus,Common Potoo
nyctibius maculosus,Andean Potoo
nyctibius leucopterus,White-winged Potoo
podargus ocellatus,Marbled Frogmouth
podargus papuensis,Papuan Frogmouth
podargus strigoides,Tawny Frogmouth
rigidipenna inexpectata,Solomons Frogmouth
batrachostomus auritus,Large Frogmouth
batrachostomus harterti,Dulit Frogmouth
batrachostomus septimus,Philippine Frogmouth
batrachostomus stellatus,Gould's Frogmouth
batrachostomus moniliger,Sri Lanka Frogmouth
batrachostomus hodgsoni,Hodgson's Frogmouth
batrachostomus poliolophus,Sumatran Frogmouth
batrachostomus mixtus,Bornean Frogmouth
batrachostomus javensis,Javan Frogmouth
batrachostomus affinis,Blyth's Frogmouth
batrachostomus chaseni,Palawan Frogmouth
batrachostomus cornutus,Sunda Frogmouth
aegotheles insignis,Feline Owlet-nightjar
aegotheles tatei,Starry Owlet-nightjar
aegotheles crinifrons,Moluccan Owlet-nightjar
aegotheles wallacii,Wallace's Owlet-nightjar
aegotheles albertisi,Mountain Owlet-nightjar
aegotheles savesi,New Caledonian Owlet-nightjar
aegotheles bennettii,Barred Owlet-nightjar
aegotheles affinis,Vogelkop Owlet-nightjar
aegotheles cristatus,Australian Owlet-nightjar
hemiprocne coronata,Crested Treeswift
hemiprocne longipennis,Grey-rumped Treeswift
hemiprocne comata,Whiskered Treeswift
hemiprocne mystacea,Moustached Treeswift
cypseloides cherriei,Spot-fronted Swift
cypseloides cryptus,White-chinned Swift
cypseloides storeri,White-fronted Swift
cypseloides fumigatus,Sooty Swift
cypseloides rothschildi,Rothschild's Swift
cypseloides niger,American Black Swift
cypseloides lemosi,White-chested Swift
cypseloides senex,Great Dusky Swift
streptoprocne phelpsi,Tepui Swift
streptoprocne rutila,Chestnut-collared Swift
streptoprocne zonaris,White-collared Swift
streptoprocne biscutata,Biscutate Swift
streptoprocne semicollaris,White-naped Swift
hydrochous gigas,Giant Swiftlet
collocalia affinis,Plume-toed Swiftlet
collocalia marginata,Grey-rumped Swiftlet
collocalia isonota,Ridgetop Swiftlet
collocalia sumbawae,Tenggara Swiftlet
collocalia neglecta,Drab Swiftlet
collocalia esculenta,Glossy Swiftlet
collocalia uropygialis,Satin Swiftlet
collocalia dodgei,Bornean Swiftlet
collocalia linchi,Cave Swiftlet
collocalia natalis,Christmas Island Swiftlet
collocalia troglodytes,Pygmy Swiftlet
aerodramus elaphrus,Seychelles Swiftlet
aerodramus francicus,Mascarene Swiftlet
aerodramus unicolor,Indian Swiftlet
aerodramus mearnsi,Philippine Swiftlet
